Parameters;Precisao;Revocacao;F1-Score;Tempo
Nature_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6615;0.9949;0.7940;0.0053
Nature_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6609;0.9955;0.7937;0.0047
Nature_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6610;0.9955;0.7938;0.0051
Nature_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7157;0.9910;0.8302;0.0072
Nature_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7481;0.9849;0.8496;0.0106
Nature_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.7923;0.9751;0.8732;0.0170
Nature_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8245;0.9646;0.8881;0.0229
Nature_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8469;0.9557;0.8974;0.0289
Nature_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8653;0.9476;0.9042;0.0357
Nature_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.8809;0.9381;0.9084;0.0434
Nature_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.8944;0.9280;0.9108;0.0472
Nature_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9068;0.9187;0.9127;0.0529
Nature_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9161;0.9085;0.9123;0.0593
Nature_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9227;0.8978;0.9100;0.0683
Nature_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9618;0.7960;0.8710;0.1259
Nature_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9748;0.6892;0.8074;0.1869
Nature_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9821;0.5890;0.7363;0.2449
Nature_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9859;0.4930;0.6572;0.2964
Nature_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9871;0.3984;0.5676;0.3639
Nature_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9893;0.3010;0.4615;0.4127
Nature_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9893;0.2038;0.3379;0.4540
Nature_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9896;0.1055;0.1906;0.4926
Nature_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6853;0.9955;0.8115;0.0047
Nature_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6844;0.9957;0.8108;0.0039
Nature_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6842;0.9957;0.8107;0.0043
Nature_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7537;0.9896;0.8555;0.0068
Nature_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7891;0.9849;0.8759;0.0105
Nature_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8315;0.9729;0.8962;0.0164
Nature_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8547;0.9639;0.9056;0.0229
Nature_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8745;0.9544;0.9125;0.0307
Nature_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8882;0.9461;0.9161;0.0359
Nature_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9010;0.9375;0.9188;0.0455
Nature_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9101;0.9274;0.9186;0.0481
Nature_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9175;0.9180;0.9177;0.0528
Nature_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9240;0.9083;0.9160;0.0592
Nature_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9297;0.8982;0.9136;0.0702
Nature_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9633;0.7903;0.8682;0.1276
Nature_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9752;0.6807;0.8017;0.1917
Nature_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9812;0.5765;0.7262;0.2458
Nature_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9847;0.4784;0.6439;0.2985
Nature_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9862;0.3840;0.5527;0.3694
Nature_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9872;0.2926;0.4513;0.4183
Nature_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9893;0.1954;0.3262;0.4652
Nature_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9902;0.0986;0.1792;0.5005
Nature_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6837;0.9954;0.8090;0.0050
Nature_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6836;0.9955;0.8089;0.0045
Nature_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6834;0.9954;0.8088;0.0043
Nature_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7549;0.9892;0.8554;0.0069
Nature_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7878;0.9846;0.8747;0.0102
Nature_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8286;0.9717;0.8939;0.0162
Nature_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8505;0.9614;0.9020;0.0226
Nature_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8674;0.9522;0.9074;0.0294
Nature_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8823;0.9448;0.9121;0.0356
Nature_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.8977;0.9355;0.9160;0.0438
Nature_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9064;0.9259;0.9159;0.0492
Nature_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9150;0.9161;0.9154;0.0540
Nature_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9214;0.9068;0.9139;0.0597
Nature_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9277;0.8951;0.9110;0.0699
Nature_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9596;0.7886;0.8656;0.1270
Nature_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9714;0.6804;0.8001;0.1884
Nature_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9784;0.5750;0.7242;0.2458
Nature_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9824;0.4804;0.6452;0.3000
Nature_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9854;0.3820;0.5505;0.3683
Nature_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9877;0.2930;0.4518;0.4112
Nature_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9896;0.1976;0.3294;0.4603
Nature_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9897;0.1017;0.1845;0.4853
Nature_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6514;0.9952;0.7869;0.0054
Nature_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6516;0.9956;0.7872;0.0054
Nature_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6514;0.9955;0.7870;0.0052
Nature_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7223;0.9912;0.8350;0.0080
