Parameters;F1-Score
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9371
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9380
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9384
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9382
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9383
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9385
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9387
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9380
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9367
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9353
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9342
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9325
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9298
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9274
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8932
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8470
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7758
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6998
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5813
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4645
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3281
Newspaper_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1609
