Parameters;Precisao;Revocacao;F1-Score;Tempo
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9651;0.9273;0.9458;0.6932
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9635;0.9330;0.9480;0.9491
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9634;0.9333;0.9481;0.9402
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9633;0.9335;0.9482;0.9696
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9634;0.9333;0.9481;0.9856
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9634;0.9330;0.9480;1.0198
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9651;0.9283;0.9463;1.1225
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9673;0.9225;0.9444;1.2214
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9723;0.9125;0.9414;1.3989
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9765;0.9035;0.9386;1.5550
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9803;0.8970;0.9368;1.7032
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9829;0.8872;0.9326;1.8757
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9843;0.8778;0.9280;2.0337
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9853;0.8698;0.9239;2.1946
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9920;0.7702;0.8672;3.8033
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9945;0.6740;0.8035;5.4773
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9961;0.5685;0.7239;7.1203
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9967;0.4517;0.6217;8.6495
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9973;0.3613;0.5304;10.1336
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9974;0.2772;0.4339;11.7410
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9977;0.1935;0.3241;13.1487
Pension_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9976;0.1057;0.1912;14.5279
