Parameters;Precisao;Revocacao;F1-Score;Tempo
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9818;0.9062;0.9425;0.6886
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9810;0.9133;0.9459;0.9133
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9808;0.9137;0.9461;0.9508
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9809;0.9137;0.9461;0.9864
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9809;0.9135;0.9460;0.9958
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9809;0.9137;0.9461;1.0595
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9813;0.9097;0.9442;1.1041
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9823;0.9040;0.9415;1.2908
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9834;0.8985;0.9390;1.4425
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9844;0.8912;0.9355;1.6101
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9855;0.8842;0.9321;1.7129
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9864;0.8762;0.9281;1.8464
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9871;0.8668;0.9230;2.0920
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9876;0.8588;0.9187;2.2195
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9924;0.7762;0.8711;3.8160
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9940;0.6865;0.8121;5.4227
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9955;0.5940;0.7440;7.1046
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9963;0.5008;0.6665;8.6313
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9970;0.3962;0.5671;10.0937
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9982;0.3098;0.4728;11.5610
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9988;0.2100;0.3470;12.9829
Radio_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9993;0.1027;0.1864;14.2618
