Parameters;Precisao;Revocacao;F1-Score;Tempo
Recession_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6747;0.9970;0.8021;0.0043
Recession_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6752;0.9969;0.8024;0.0044
Recession_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6752;0.9970;0.8025;0.0044
Recession_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7238;0.9933;0.8339;0.0071
Recession_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8204;0.9877;0.8950;0.0104
Recession_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8939;0.9760;0.9330;0.0163
Recession_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9206;0.9647;0.9420;0.0221
Recession_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9335;0.9546;0.9438;0.0292
Recession_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9439;0.9424;0.9430;0.0342
Recession_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9519;0.9303;0.9409;0.0447
Recession_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9565;0.9216;0.9386;0.0465
Recession_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9606;0.9113;0.9353;0.0549
Recession_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9639;0.9025;0.9322;0.0604
Recession_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9664;0.8937;0.9285;0.0692
Recession_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9792;0.7988;0.8798;0.1295
Recession_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9835;0.7061;0.8218;0.1869
Recession_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9868;0.6074;0.7517;0.2418
Recession_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9887;0.5118;0.6743;0.3000
Recession_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9899;0.4178;0.5874;0.3644
Recession_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9906;0.3227;0.4865;0.4159
Recession_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9911;0.2193;0.3587;0.4562
Recession_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9905;0.1172;0.2091;0.4906
Recession_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7448;0.9959;0.8505;0.0042
Recession_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7439;0.9959;0.8499;0.0041
Recession_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7439;0.9959;0.8499;0.0039
Recession_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7994;0.9901;0.8827;0.0067
Recession_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8595;0.9841;0.9174;0.0098
Recession_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9073;0.9705;0.9378;0.0160
Recession_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9308;0.9573;0.9438;0.0221
Recession_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9422;0.9450;0.9436;0.0287
Recession_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9498;0.9341;0.9418;0.0346
Recession_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9565;0.9210;0.9384;0.0432
Recession_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9599;0.9099;0.9342;0.0487
Recession_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9630;0.9009;0.9309;0.0527
Recession_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9663;0.8910;0.9271;0.0598
Recession_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9690;0.8806;0.9227;0.0693
Recession_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9802;0.7893;0.8744;0.1298
Recession_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9844;0.6966;0.8157;0.1895
Recession_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9870;0.6046;0.7497;0.2445
Recession_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9893;0.5135;0.6758;0.3029
Recession_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9910;0.4219;0.5913;0.3678
Recession_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9920;0.3295;0.4941;0.4166
Recession_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9930;0.2281;0.3703;0.4608
Recession_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9925;0.1185;0.2114;0.4928
Recession_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8068;0.9828;0.8855;0.0059
Recession_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8070;0.9903;0.8889;0.0060
Recession_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8069;0.9911;0.8892;0.0055
Recession_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8617;0.9863;0.9196;0.0083
Recession_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8779;0.9806;0.9261;0.0113
Recession_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9044;0.9695;0.9356;0.0182
Recession_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9197;0.9588;0.9386;0.0232
Recession_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9335;0.9452;0.9392;0.0312
Recession_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9436;0.9342;0.9387;0.0360
Recession_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9514;0.9220;0.9364;0.0461
Recession_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9556;0.9119;0.9332;0.0490
Recession_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9593;0.9007;0.9290;0.0548
Recession_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9633;0.8900;0.9252;0.0614
Recession_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9658;0.8796;0.9206;0.0732
Recession_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9786;0.7886;0.8733;0.1292
Recession_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9839;0.6945;0.8142;0.1887
Recession_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9869;0.6020;0.7477;0.2484
Recession_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9886;0.5065;0.6696;0.3034
Recession_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9895;0.4099;0.5794;0.3694
Recession_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9902;0.3087;0.4703;0.4158
Recession_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9917;0.2092;0.3453;0.4606
Recession_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9928;0.1111;0.1995;0.4961
Recession_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5872;0.9980;0.7385;0.0047
Recession_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5879;0.9984;0.7392;0.0046
Recession_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5880;0.9985;0.7393;0.0047
Recession_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6169;0.9956;0.7605;0.0071
Recession_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7758;0.9894;0.8674;0.0102
Recession_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8856;0.9793;0.9299;0.0162
Recession_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9159;0.9688;0.9414;0.0229
Recession_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9307;0.9586;0.9443;0.0303
Recession_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9417;0.9481;0.9448;0.0346
Recession_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9483;0.9384;0.9432;0.0473
Recession_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9535;0.9280;0.9404;0.0489
Recession_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9581;0.9182;0.9376;0.0531
Recession_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9619;0.9091;0.9346;0.0588
Recession_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9648;0.8991;0.9307;0.0709
Recession_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9782;0.8010;0.8807;0.1323
Recession_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9835;0.6940;0.8136;0.1899
