Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5850;0.9966;0.7350;0.0118
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5928;0.9970;0.7406;0.0057
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5926;0.9970;0.7405;0.0050
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7259;0.9936;0.8377;0.0082
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9403;0.9889;0.9636;0.0104
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9771;0.9788;0.9779;0.0174
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9838;0.9678;0.9757;0.0226
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9865;0.9587;0.9723;0.0290
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9877;0.9483;0.9676;0.0357
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9896;0.9371;0.9626;0.0436
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9910;0.9284;0.9586;0.0471
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9924;0.9149;0.9520;0.0539
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9928;0.9041;0.9463;0.0604
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9934;0.8934;0.9407;0.0715
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9960;0.7814;0.8757;0.1274
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9969;0.6763;0.8058;0.1892
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9972;0.5743;0.7287;0.2456
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9975;0.4798;0.6478;0.2973
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9974;0.3868;0.5571;0.3596
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9976;0.2896;0.4487;0.4087
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9978;0.1953;0.3265;0.4522
Rivers_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9984;0.1001;0.1819;0.4812
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5873;0.9970;0.7366;0.0050
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5879;0.9983;0.7374;0.0041
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5881;0.9984;0.7376;0.0044
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7613;0.9930;0.8592;0.0071
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9417;0.9878;0.9632;0.0108
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9703;0.9758;0.9726;0.0163
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9773;0.9659;0.9712;0.0226
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9822;0.9550;0.9682;0.0287
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9837;0.9459;0.9642;0.0342
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9848;0.9354;0.9592;0.0432
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9869;0.9235;0.9540;0.0502
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9888;0.9139;0.9497;0.0530
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9904;0.9034;0.9448;0.0594
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9909;0.8901;0.9377;0.0696
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9952;0.7769;0.8725;0.1296
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9965;0.6730;0.8033;0.1888
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9969;0.5694;0.7247;0.2526
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9972;0.4694;0.6382;0.2994
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9972;0.3694;0.5390;0.3689
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9978;0.2824;0.4400;0.4125
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9976;0.1883;0.3166;0.4568
Rivers_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9966;0.0888;0.1629;0.4903
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6377;0.9972;0.7709;0.0052
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6379;0.9974;0.7711;0.0050
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6377;0.9973;0.7710;0.0047
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7848;0.9933;0.8742;0.0072
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9392;0.9876;0.9622;0.0105
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9789;0.9772;0.9780;0.0164
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9864;0.9651;0.9756;0.0235
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9893;0.9535;0.9710;0.0297
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9907;0.9434;0.9665;0.0348
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9920;0.9312;0.9606;0.0441
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9926;0.9207;0.9553;0.0497
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9930;0.9107;0.9500;0.0542
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9937;0.9018;0.9455;0.0582
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9943;0.8909;0.9397;0.0699
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9963;0.7785;0.8739;0.1299
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9967;0.6669;0.7990;0.1863
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9972;0.5674;0.7230;0.2424
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9976;0.4684;0.6372;0.2990
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9976;0.3691;0.5386;0.3614
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9978;0.2754;0.4314;0.4107
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9975;0.1863;0.3137;0.4532
Rivers_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9974;0.0913;0.1672;0.4843
