Parameters;F1-Score
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9233
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9248
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9253
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9248
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9244
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9177
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9011
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8898
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8720
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8612
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8446
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8282
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8135
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.7941
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.6425
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.4828
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.3427
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.2336
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.1507
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.0907
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.0521
Rugby_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.0232
