Parameters;Precisao;Revocacao;F1-Score;Tempo
School_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9321;0.9183;0.9251;0.8172
School_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9293;0.9233;0.9262;1.0520
School_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9293;0.9237;0.9265;1.0880
School_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9294;0.9243;0.9268;1.1532
School_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9294;0.9243;0.9268;1.1623
School_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9294;0.9243;0.9268;1.2028
School_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9318;0.9235;0.9276;1.2540
School_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9345;0.9200;0.9272;1.3197
School_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9371;0.9153;0.9260;1.4802
School_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9407;0.9093;0.9247;1.6447
School_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9453;0.9018;0.9230;1.7673
School_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9489;0.8935;0.9204;1.9329
School_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9525;0.8862;0.9182;2.0399
School_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9563;0.8768;0.9148;2.2305
School_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9719;0.7895;0.8713;3.8870
School_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9774;0.7003;0.8159;5.5115
School_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9807;0.6050;0.7483;7.0967
School_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9838;0.5045;0.6670;8.6948
School_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9851;0.4078;0.5767;10.2172
School_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9862;0.3110;0.4729;11.7812
School_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9871;0.1958;0.3267;12.9967
School_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9881;0.0828;0.1527;14.2951
