Parameters;F1-Score
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9212
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9275
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9277
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9277
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9275
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9274
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9276
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9274
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9266
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9247
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9210
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9178
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9144
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9117
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8634
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8083
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7269
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6353
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5478
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4333
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3120
Stocks_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1613
