Parameters;F1-Score
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8567
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8563
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8562
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9034
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9200
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9453
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9648
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9661
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9658
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9623
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9582
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9540
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9483
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9427
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8795
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8156
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7398
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6583
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5652
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4558
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3335
Suicide_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1844
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8813
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8811
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8810
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9395
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9528
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9681
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9723
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9713
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9677
Suicide_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9636
