Parameters;Precisao;Revocacao;F1-Score;Tempo
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5620;0.9944;0.7177;0.0046
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5623;0.9956;0.7183;0.0047
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5633;0.9957;0.7191;0.0051
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8055;0.9919;0.8878;0.0073
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9363;0.9871;0.9607;0.0107
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9788;0.9762;0.9775;0.0182
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9857;0.9657;0.9755;0.0230
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9898;0.9560;0.9726;0.0293
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9919;0.9442;0.9674;0.0364
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9934;0.9330;0.9622;0.0467
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9944;0.9234;0.9576;0.0485
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9951;0.9145;0.9531;0.0522
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9958;0.9034;0.9473;0.0597
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9961;0.8956;0.9432;0.0719
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9981;0.7987;0.8873;0.1246
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9988;0.6993;0.8225;0.1870
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9992;0.6031;0.7521;0.2469
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9992;0.5082;0.6737;0.3023
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9993;0.4067;0.5780;0.3658
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9993;0.3031;0.4649;0.4209
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9993;0.2020;0.3360;0.4570
Surgery_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9987;0.1014;0.1841;0.4878
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5846;0.9957;0.7357;0.0046
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5845;0.9958;0.7356;0.0042
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5847;0.9960;0.7358;0.0042
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8519;0.9917;0.9164;0.0069
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9497;0.9873;0.9680;0.0100
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9823;0.9750;0.9786;0.0168
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9886;0.9657;0.9771;0.0235
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9915;0.9549;0.9728;0.0290
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9935;0.9433;0.9677;0.0343
Surgery_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9947;0.9339;0.9634;0.0452
