Parameters;Precisao;Revocacao;F1-Score;Tempo
Theft_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6155;0.9986;0.7593;0.0048
Theft_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6155;0.9986;0.7593;0.0039
Theft_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6155;0.9986;0.7593;0.0040
Theft_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7001;0.9948;0.8200;0.0071
Theft_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7661;0.9911;0.8636;0.0102
Theft_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8285;0.9814;0.8982;0.0172
Theft_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8591;0.9713;0.9116;0.0226
Theft_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8779;0.9606;0.9172;0.0292
Theft_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8905;0.9512;0.9197;0.0349
Theft_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9016;0.9408;0.9206;0.0444
Theft_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9095;0.9297;0.9194;0.0497
Theft_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9162;0.9188;0.9174;0.0528
Theft_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9209;0.9080;0.9143;0.0590
Theft_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9257;0.8970;0.9110;0.0699
Theft_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9526;0.7907;0.8640;0.1312
Theft_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9630;0.6882;0.8026;0.1884
Theft_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9684;0.5874;0.7311;0.2443
Theft_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9716;0.4886;0.6501;0.3025
Theft_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9738;0.3900;0.5567;0.3717
Theft_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9758;0.2936;0.4512;0.4205
Theft_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9765;0.1976;0.3286;0.4569
Theft_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9778;0.0982;0.1785;0.4873
Theft_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6552;0.9984;0.7896;0.0043
Theft_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6540;0.9984;0.7887;0.0040
Theft_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6541;0.9984;0.7888;0.0040
Theft_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7474;0.9939;0.8525;0.0071
Theft_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7958;0.9893;0.8819;0.0099
Theft_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8405;0.9795;0.9047;0.0160
Theft_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8734;0.9680;0.9182;0.0239
Theft_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8913;0.9577;0.9233;0.0294
Theft_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9031;0.9464;0.9242;0.0350
Theft_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9127;0.9343;0.9234;0.0450
Theft_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9199;0.9231;0.9215;0.0498
Theft_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9262;0.9113;0.9187;0.0530
Theft_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9309;0.8990;0.9147;0.0593
Theft_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9349;0.8867;0.9101;0.0709
Theft_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9569;0.7848;0.8624;0.1275
Theft_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9664;0.6867;0.8029;0.1886
Theft_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9708;0.5881;0.7325;0.2439
Theft_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9739;0.4862;0.6486;0.2981
Theft_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9756;0.3886;0.5558;0.3694
Theft_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9769;0.2918;0.4493;0.4134
Theft_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9771;0.1982;0.3294;0.4540
Theft_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9769;0.0975;0.1771;0.4835
Theft_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6984;0.9961;0.8200;0.0052
Theft_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6986;0.9962;0.8202;0.0049
Theft_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6987;0.9963;0.8203;0.0053
Theft_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7591;0.9934;0.8598;0.0076
Theft_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7928;0.9884;0.8794;0.0111
Theft_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8329;0.9771;0.8989;0.0164
Theft_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8559;0.9652;0.9070;0.0232
Theft_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8733;0.9537;0.9114;0.0289
Theft_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8849;0.9408;0.9118;0.0356
Theft_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.8970;0.9271;0.9116;0.0451
Theft_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9069;0.9174;0.9119;0.0484
Theft_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9137;0.9070;0.9102;0.0537
Theft_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9199;0.8951;0.9072;0.0594
Theft_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9243;0.8842;0.9036;0.0725
Theft_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9491;0.7793;0.8558;0.1299
Theft_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9607;0.6768;0.7941;0.1887
Theft_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9673;0.5778;0.7234;0.2472
Theft_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9709;0.4764;0.6391;0.2974
Theft_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9734;0.3813;0.5478;0.3633
Theft_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9755;0.2831;0.4387;0.4127
Theft_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9769;0.1866;0.3132;0.4517
Theft_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9766;0.0942;0.1718;0.4865
Theft_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5730;0.9975;0.7274;0.0056
Theft_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5729;0.9974;0.7273;0.0050
Theft_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5727;0.9974;0.7272;0.0052
Theft_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6398;0.9945;0.7775;0.0077
Theft_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7202;0.9909;0.8317;0.0115
Theft_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.7873;0.9836;0.8736;0.0170
Theft_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8253;0.9752;0.8935;0.0235
Theft_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8471;0.9665;0.9024;0.0311
Theft_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8607;0.9561;0.9055;0.0352
Theft_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.8733;0.9463;0.9080;0.0444
Theft_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.8835;0.9373;0.9093;0.0490
Theft_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.8908;0.9271;0.9083;0.0527
Theft_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.8979;0.9168;0.9071;0.0595
Theft_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9047;0.9074;0.9059;0.0725
Theft_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9393;0.7994;0.8637;0.1294
Theft_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9557;0.6932;0.8035;0.1897
Theft_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9649;0.5912;0.7331;0.2446
Theft_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9700;0.4849;0.6465;0.2996
Theft_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9723;0.3816;0.5480;0.3636
Theft_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9739;0.2836;0.4392;0.4138
Theft_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9757;0.1881;0.3152;0.4540
Theft_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9773;0.0934;0.1705;0.4896
Theft_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5792;0.9614;0.7212;0.0047
Theft_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5897;0.9984;0.7406;0.0043
Theft_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5897;0.9984;0.7407;0.0044
Theft_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6574;0.9950;0.7900;0.0069
Theft_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.7443;0.9916;0.8496;0.0098
Theft_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8101;0.9827;0.8875;0.0162
Theft_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8421;0.9739;0.9029;0.0230
Theft_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.8653;0.9630;0.9113;0.0282
Theft_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.8793;0.9531;0.9145;0.0342
Theft_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.8922;0.9439;0.9172;0.0425
Theft_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.8998;0.9351;0.9170;0.0493
Theft_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9065;0.9253;0.9157;0.0534
Theft_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9122;0.9146;0.9132;0.0605
Theft_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9171;0.9037;0.9102;0.0704
Theft_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9479;0.7988;0.8669;0.1286
Theft_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9599;0.6942;0.8056;0.1890
Theft_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9657;0.5931;0.7348;0.2438
Theft_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9707;0.4880;0.6493;0.2987
Theft_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9734;0.3871;0.5539;0.3668
Theft_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9760;0.2861;0.4424;0.4144
Theft_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9757;0.1941;0.3236;0.4551
Theft_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9782;0.0958;0.1744;0.4883
Theft_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5248;0.9880;0.6854;0.0049
Theft_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5244;0.9971;0.6871;0.0048
Theft_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5248;0.9971;0.6875;0.0049
Theft_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5421;0.9947;0.7016;0.0075
Theft_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.6179;0.9913;0.7603;0.0105
Theft_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.6921;0.9839;0.8123;0.0163
Theft_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.7514;0.9759;0.8487;0.0223
Theft_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.7853;0.9675;0.8667;0.0285
Theft_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.8121;0.9600;0.8798;0.0347
Theft_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.8272;0.9517;0.8850;0.0432
Theft_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.8398;0.9437;0.8887;0.0489
Theft_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.8524;0.9351;0.8918;0.0519
Theft_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.8626;0.9256;0.8930;0.0597
Theft_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.8716;0.9152;0.8928;0.0686
Theft_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.9176;0.8098;0.8603;0.1268
Theft_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.9347;0.6984;0.7994;0.1884
Theft_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.9425;0.5942;0.7289;0.2404
Theft_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.9473;0.4923;0.6478;0.2931
Theft_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.9506;0.3897;0.5527;0.3629
Theft_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.9541;0.2897;0.4444;0.4120
Theft_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.9550;0.1935;0.3217;0.4542
Theft_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.9564;0.0962;0.1747;0.4901
Theft_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5325;0.9924;0.6929;0.0047
Theft_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5334;0.9977;0.6950;0.0047
Theft_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5336;0.9977;0.6952;0.0046
Theft_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.5635;0.9959;0.7195;0.0073
Theft_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.6847;0.9914;0.8088;0.0109
Theft_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.7452;0.9838;0.8477;0.0165
Theft_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.7895;0.9761;0.8727;0.0231
Theft_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.8188;0.9685;0.8872;0.0284
Theft_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.8372;0.9616;0.8950;0.0350
Theft_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.8550;0.9527;0.9012;0.0436
Theft_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.8651;0.9449;0.9031;0.0481
Theft_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.8754;0.9360;0.9046;0.0531
Theft_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.8830;0.9288;0.9053;0.0591
Theft_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.8907;0.9193;0.9047;0.0737
Theft_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9259;0.8147;0.8667;0.1289
Theft_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9398;0.6988;0.8016;0.1878
Theft_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9478;0.5901;0.7274;0.2418
Theft_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9534;0.4896;0.6469;0.2991
Theft_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9584;0.3869;0.5513;0.3676
Theft_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9631;0.2859;0.4408;0.4091
Theft_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9641;0.1866;0.3125;0.4585
Theft_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9662;0.0927;0.1690;0.4866
Theft_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5789;0.9955;0.7314;0.0057
Theft_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5789;0.9962;0.7316;0.0055
Theft_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5781;0.9961;0.7310;0.0060
Theft_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.6122;0.9945;0.7573;0.0083
Theft_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.7098;0.9913;0.8265;0.0108
Theft_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.7732;0.9835;0.8653;0.0175
Theft_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.8117;0.9760;0.8860;0.0230
Theft_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.8347;0.9673;0.8959;0.0295
Theft_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.8532;0.9590;0.9028;0.0348
Theft_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.8688;0.9500;0.9075;0.0455
Theft_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.8809;0.9418;0.9103;0.0487
Theft_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.8886;0.9346;0.9110;0.0536
Theft_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.8972;0.9231;0.9099;0.0614
Theft_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9028;0.9137;0.9081;0.0725
Theft_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.9368;0.8102;0.8688;0.1310
Theft_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.9510;0.7030;0.8083;0.1885
Theft_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.9599;0.5990;0.7376;0.2460
Theft_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.9657;0.4990;0.6579;0.2994
Theft_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.9695;0.3929;0.5590;0.3642
Theft_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.9730;0.2907;0.4476;0.4089
Theft_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.9749;0.1914;0.3199;0.4508
Theft_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.9781;0.0972;0.1768;0.4900
Theft_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.5342;0.9953;0.6950;0.0061
Theft_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.5340;0.9954;0.6949;0.0059
Theft_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.5344;0.9953;0.6951;0.0058
Theft_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.5415;0.9931;0.7006;0.0080
Theft_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.5554;0.9884;0.7110;0.0111
Theft_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.6032;0.9811;0.7467;0.0174
Theft_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.6546;0.9714;0.7817;0.0232
Theft_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.6972;0.9614;0.8079;0.0298
Theft_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.7192;0.9541;0.8197;0.0356
Theft_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.7438;0.9463;0.8325;0.0486
Theft_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.7637;0.9379;0.8415;0.0472
Theft_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.7814;0.9284;0.8483;0.0532
Theft_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.7948;0.9178;0.8517;0.0601
Theft_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.8124;0.9079;0.8573;0.0714
Theft_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8895;0.8070;0.8462;0.1257
Theft_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.9183;0.7008;0.7949;0.1926
Theft_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.9323;0.5979;0.7286;0.2431
Theft_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.9394;0.4979;0.6508;0.2980
Theft_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.9438;0.3946;0.5565;0.3540
Theft_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.9467;0.2950;0.4497;0.4058
Theft_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.9481;0.1989;0.3288;0.4456
Theft_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.9501;0.1025;0.1849;0.4811
Theft_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.5255;0.9938;0.6872;0.0051
Theft_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.5219;0.9962;0.6848;0.0050
Theft_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.5226;0.9962;0.6855;0.0050
Theft_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.5325;0.9939;0.6934;0.0071
Theft_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.5929;0.9897;0.7412;0.0108
Theft_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.6624;0.9823;0.7906;0.0169
Theft_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.7129;0.9748;0.8232;0.0236
Theft_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.7477;0.9677;0.8434;0.0289
Theft_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.7778;0.9586;0.8586;0.0350
Theft_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.7956;0.9492;0.8654;0.0434
Theft_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.8125;0.9406;0.8717;0.0486
Theft_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.8282;0.9325;0.8771;0.0536
Theft_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.8417;0.9221;0.8799;0.0593
Theft_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.8528;0.9131;0.8818;0.0717
Theft_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.9052;0.8082;0.8539;0.1286
Theft_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.9261;0.7021;0.7986;0.1891
Theft_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.9355;0.5957;0.7278;0.2455
Theft_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.9409;0.4967;0.6502;0.2987
Theft_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.9443;0.3935;0.5555;0.3688
Theft_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.9471;0.2913;0.4454;0.4062
Theft_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.9516;0.1974;0.3269;0.4515
Theft_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.9515;0.0978;0.1773;0.4880
