Parameters;Precisao;Revocacao;F1-Score;Tempo
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5331;0.9978;0.6944;0.0045
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5276;0.9980;0.6901;0.0044
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5270;0.9980;0.6897;0.0044
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8926;0.9909;0.9390;0.0068
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9514;0.9838;0.9673;0.0099
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9725;0.9702;0.9713;0.0157
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9784;0.9597;0.9689;0.0226
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9813;0.9490;0.9649;0.0292
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9837;0.9390;0.9608;0.0351
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9854;0.9288;0.9563;0.0434
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9865;0.9180;0.9510;0.0489
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9879;0.9079;0.9462;0.0520
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9887;0.8979;0.9411;0.0594
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9896;0.8868;0.9354;0.0682
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9938;0.7853;0.8773;0.1273
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9950;0.6875;0.8131;0.1886
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9958;0.5890;0.7402;0.2404
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9958;0.4865;0.6535;0.2959
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9958;0.3858;0.5561;0.3631
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9952;0.2896;0.4485;0.4144
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9953;0.1935;0.3239;0.4523
Therapy_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9958;0.0974;0.1773;0.4861
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5316;0.9984;0.6936;0.0042
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5316;0.9984;0.6936;0.0040
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5316;0.9984;0.6936;0.0040
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9304;0.9902;0.9592;0.0070
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9625;0.9829;0.9725;0.0099
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9779;0.9694;0.9736;0.0156
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9829;0.9569;0.9697;0.0229
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9855;0.9463;0.9655;0.0289
