Parameters;Precisao;Revocacao;F1-Score;Tempo
Toy_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6495;0.9643;0.7705;0.0051
Toy_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6525;0.9772;0.7778;0.0053
Toy_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6553;0.9870;0.7835;0.0053
Toy_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8519;0.9920;0.9156;0.0077
Toy_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9492;0.9848;0.9656;0.0111
Toy_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9735;0.9753;0.9739;0.0165
Toy_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9809;0.9627;0.9714;0.0222
Toy_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9843;0.9505;0.9668;0.0296
Toy_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9878;0.9393;0.9627;0.0358
Toy_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9891;0.9278;0.9573;0.0440
Toy_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9900;0.9159;0.9514;0.0476
Toy_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9909;0.9045;0.9456;0.0537
Toy_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9916;0.8925;0.9394;0.0603
Toy_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9922;0.8819;0.9336;0.0699
Toy_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9955;0.7772;0.8727;0.1277
Toy_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9967;0.6763;0.8056;0.1885
Toy_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9974;0.5792;0.7326;0.2499
Toy_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9980;0.4819;0.6498;0.3017
Toy_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9982;0.3865;0.5571;0.3640
Toy_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9984;0.2874;0.4462;0.4163
Toy_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9985;0.1944;0.3253;0.4487
Toy_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9982;0.0960;0.1750;0.4934
Toy_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7561;0.9732;0.8448;0.0047
Toy_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7613;0.9908;0.8566;0.0048
Toy_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7622;0.9967;0.8599;0.0048
Toy_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9373;0.9919;0.9634;0.0073
Toy_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9816;0.9833;0.9824;0.0101
Toy_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9930;0.9700;0.9813;0.0162
Toy_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9958;0.9577;0.9763;0.0224
Toy_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9971;0.9441;0.9699;0.0287
Toy_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9974;0.9307;0.9629;0.0341
Toy_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9975;0.9175;0.9558;0.0455
Toy_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9978;0.9042;0.9487;0.0479
Toy_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9981;0.8922;0.9422;0.0553
Toy_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9982;0.8808;0.9359;0.0589
Toy_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9983;0.8695;0.9294;0.0696
Toy_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9988;0.7625;0.8648;0.1290
Toy_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9988;0.6638;0.7975;0.1916
Toy_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9988;0.5623;0.7195;0.2514
Toy_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9986;0.4677;0.6369;0.2993
Toy_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9985;0.3758;0.5459;0.3647
Toy_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9985;0.2792;0.4363;0.4214
Toy_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9984;0.1874;0.3153;0.4535
Toy_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9986;0.0950;0.1734;0.4969
Toy_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7741;0.9980;0.8652;0.0043
Toy_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7752;0.9982;0.8661;0.0039
Toy_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7751;0.9982;0.8660;0.0039
Toy_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9121;0.9916;0.9464;0.0067
Toy_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9575;0.9818;0.9677;0.0102
Toy_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9722;0.9667;0.9683;0.0164
Toy_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9787;0.9533;0.9651;0.0225
