Parameters;F1-Score
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9368
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9387
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9386
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9387
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9386
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9382
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9370
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9369
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9343
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9319
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9302
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9287
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9270
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9242
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8766
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.8098
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7333
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6591
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5596
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4519
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3326
Transport_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1871
