Parameters;Precisao;Revocacao;F1-Score;Tempo
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8692;0.9077;0.8881;0.8501
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8651;0.9143;0.8890;1.0728
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8647;0.9137;0.8886;1.1248
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8647;0.9140;0.8887;1.1516
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8648;0.9143;0.8888;1.1679
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8647;0.9140;0.8887;1.2133
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8654;0.9127;0.8884;1.2723
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8677;0.9083;0.8875;1.3779
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8730;0.9005;0.8865;1.5498
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8781;0.8938;0.8859;1.6651
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8828;0.8860;0.8844;1.8226
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8870;0.8775;0.8822;2.0099
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8911;0.8710;0.8809;2.1801
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8949;0.8625;0.8784;2.2701
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9285;0.7732;0.8438;3.9311
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9475;0.6937;0.8010;5.5802
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9606;0.6035;0.7413;7.1492
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9724;0.4985;0.6591;8.6784
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9818;0.3965;0.5649;10.1060
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9890;0.2960;0.4556;11.6578
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.9953;0.1908;0.3201;13.1005
Trend_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.9980;0.0988;0.1797;14.3755
