Parameters;Precisao;Revocacao;F1-Score;Tempo
Trend_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6248;0.9992;0.7680;0.0046
Trend_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6259;0.9992;0.7689;0.0040
Trend_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6258;0.9992;0.7688;0.0039
Trend_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6938;0.9940;0.8161;0.0068
Trend_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7520;0.9868;0.8518;0.0101
Trend_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8042;0.9760;0.8800;0.0160
Trend_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8373;0.9639;0.8945;0.0225
Trend_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8612;0.9540;0.9035;0.0287
Trend_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8804;0.9424;0.9088;0.0344
Trend_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.8943;0.9316;0.9111;0.0440
Trend_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9039;0.9215;0.9112;0.0498
Trend_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9127;0.9104;0.9102;0.0539
Trend_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9205;0.8991;0.9085;0.0586
Trend_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9266;0.8886;0.9062;0.0704
Trend_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9563;0.7883;0.8635;0.1302
Trend_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9687;0.6840;0.8012;0.1892
Trend_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9756;0.5820;0.7286;0.2453
Trend_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9793;0.4777;0.6417;0.2996
Trend_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9823;0.3868;0.5548;0.3682
Trend_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9843;0.2939;0.4525;0.4131
Trend_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9852;0.1999;0.3322;0.4576
Trend_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9858;0.0988;0.1793;0.4913
Trend_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6365;0.9984;0.7768;0.0047
Trend_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6357;0.9987;0.7763;0.0042
Trend_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6357;0.9987;0.7763;0.0045
Trend_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7079;0.9934;0.8265;0.0072
Trend_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7737;0.9858;0.8665;0.0102
Trend_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8289;0.9734;0.8949;0.0166
Trend_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8546;0.9638;0.9055;0.0229
Trend_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8755;0.9518;0.9115;0.0284
Trend_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8928;0.9400;0.9152;0.0346
Trend_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9041;0.9277;0.9152;0.0449
Trend_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9131;0.9171;0.9145;0.0491
Trend_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9196;0.9061;0.9122;0.0538
Trend_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9262;0.8953;0.9099;0.0597
Trend_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9315;0.8847;0.9069;0.0710
Trend_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9605;0.7803;0.8607;0.1269
Trend_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9714;0.6812;0.8004;0.1898
Trend_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9766;0.5818;0.7288;0.2513
Trend_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9808;0.4841;0.6478;0.3014
