Parameters;Precisao;Revocacao;F1-Score;Tempo
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9867;0.9267;0.9558;0.6205
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9860;0.9297;0.9570;0.7221
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9859;0.9303;0.9573;0.7572
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9859;0.9310;0.9577;0.8393
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9859;0.9310;0.9577;0.8732
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9867;0.9293;0.9571;0.9206
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9887;0.9235;0.9550;1.0008
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9917;0.9167;0.9527;1.1517
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9929;0.9085;0.9489;1.2838
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9939;0.8965;0.9427;1.4303
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9950;0.8848;0.9366;1.6008
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9956;0.8755;0.9317;1.8021
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9961;0.8645;0.9256;1.9655
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9967;0.8555;0.9207;2.1725
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.9988;0.7350;0.8468;3.8452
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.9994;0.6058;0.7543;5.4427
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.9996;0.4770;0.6458;7.0293
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.9996;0.3683;0.5382;8.5840
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.9996;0.2712;0.4267;10.0458
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.9997;0.1850;0.3122;11.5210
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;1.0000;0.1197;0.2139;12.9416
Unemployment_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;1.0000;0.0480;0.0916;14.3350
