Parameters;F1-Score
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9220
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9247
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9246
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9245
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9249
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9249
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9248
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9248
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9228
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9202
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9182
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9143
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9124
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9090
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8587
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7893
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7079
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6291
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5403
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4449
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3217
Water_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1621
