Parameters;F1-Score
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.9482
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.9509
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.9507
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.9507
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.9504
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.9512
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.9500
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.9471
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.9445
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.9407
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.9354
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.9289
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.9251
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.9202
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8573
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7846
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7160
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6343
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5567
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4482
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3277
Weather_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1908
