Parameters;Precisao;Revocacao;F1-Score;Tempo
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7013;0.9978;0.8158;0.0061
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6993;0.9978;0.8146;0.0050
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6989;0.9978;0.8143;0.0047
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7641;0.9926;0.8564;0.0087
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8266;0.9849;0.8937;0.0111
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9703;0.9718;0.9710;0.0166
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9835;0.9577;0.9704;0.0230
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9868;0.9445;0.9652;0.0301
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9884;0.9313;0.9589;0.0347
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9895;0.9196;0.9533;0.0440
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9906;0.9080;0.9475;0.0488
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9913;0.8956;0.9410;0.0570
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9920;0.8831;0.9344;0.0620
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9924;0.8713;0.9279;0.0683
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9948;0.7622;0.8630;0.1280
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9956;0.6630;0.7959;0.1889
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9961;0.5711;0.7258;0.2503
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9968;0.4759;0.6439;0.3004
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9971;0.3893;0.5597;0.3678
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9977;0.3022;0.4635;0.4165
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9977;0.2072;0.3427;0.4602
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9976;0.1022;0.1852;0.4901
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8160;0.9980;0.8939;0.0046
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8174;0.9979;0.8948;0.0041
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8173;0.9979;0.8948;0.0039
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8946;0.9897;0.9379;0.0068
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9338;0.9813;0.9564;0.0105
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9765;0.9672;0.9718;0.0167
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9838;0.9529;0.9681;0.0231
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9864;0.9404;0.9628;0.0288
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9878;0.9266;0.9562;0.0343
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9889;0.9112;0.9485;0.0427
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9900;0.8992;0.9424;0.0484
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9909;0.8844;0.9346;0.0526
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9914;0.8715;0.9276;0.0601
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9921;0.8573;0.9197;0.0706
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9940;0.7460;0.8523;0.1282
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9951;0.6453;0.7828;0.1906
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9959;0.5494;0.7080;0.2434
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9964;0.4651;0.6341;0.3032
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9968;0.3836;0.5538;0.3708
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9969;0.2883;0.4471;0.4186
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9968;0.1931;0.3233;0.4597
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9971;0.0959;0.1748;0.4846
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7137;0.9990;0.8252;0.0043
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7127;0.9989;0.8244;0.0039
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7125;0.9989;0.8243;0.0040
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7799;0.9919;0.8656;0.0069
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8287;0.9849;0.8939;0.0100
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9769;0.9699;0.9734;0.0166
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9834;0.9571;0.9701;0.0232
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9862;0.9434;0.9644;0.0289
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9883;0.9293;0.9578;0.0341
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9891;0.9167;0.9515;0.0429
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9902;0.9032;0.9446;0.0497
