Parameters;F1-Score
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,0001_scale;0.8770
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,0005_scale;0.8758
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,001_scale;0.8759
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,005_scale;0.8755
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,01_scale;0.8756
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,02_scale;0.8774
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,03_scale;0.8794
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,04_scale;0.8808
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,05_scale;0.8820
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,06_scale;0.8825
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,07_scale;0.8832
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,08_scale;0.8811
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,09_scale;0.8794
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,1_scale;0.8781
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,2_scale;0.8527
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,3_scale;0.7954
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,4_scale;0.7296
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,5_scale;0.6481
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,6_scale;0.5608
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,7_scale;0.4550
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,8_scale;0.3347
Welfare_DistilBERTML_2000_6000_OCSVM_RBF_0,9_scale;0.1822
