Parameters;F1-Score
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6891
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6889
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6889
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7520
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8018
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8534
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8785
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8909
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8966
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9008
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9016
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9018
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9007
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.8979
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8493
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.7893
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.7167
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.6350
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.5393
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.4316
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.3123
Welfare_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.1691
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6885
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6963
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6996
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7567
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8055
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8592
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8817
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8946
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9001
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9015
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9020
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9013
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.8994
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8973
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8484
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.7852
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7111
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.6316
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.5349
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.4261
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.3032
Welfare_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.1616
Welfare_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7047
Welfare_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7051
Welfare_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7051
