Parametros;Precisao;Revocacao;F1-Score;Tempo
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5422;0.9912;0.7010;0.0041
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5454;0.9978;0.7053;0.0038
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5456;0.9982;0.7055;0.0039
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9786;0.9935;0.9860;0.0063
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9921;0.9785;0.9853;0.0169
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9936;0.9670;0.9801;0.0161
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9953;0.9477;0.9709;0.0221
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9960;0.9383;0.9663;0.0290
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9962;0.9273;0.9605;0.0337
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9970;0.9165;0.9551;0.0443
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9970;0.9002;0.9461;0.0572
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9969;0.8848;0.9375;0.0534
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9971;0.8728;0.9308;0.0590
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9971;0.8655;0.9267;0.0693
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9980;0.7648;0.8660;0.1225
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9981;0.6717;0.8030;0.1952
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9978;0.5757;0.7302;0.2433
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9979;0.4810;0.6491;0.2972
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9974;0.3807;0.5511;0.3609
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9966;0.2908;0.4502;0.4120
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9987;0.1963;0.3280;0.4502
Architecture_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0915;0.1677;0.5020
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5898;0.9988;0.7417;0.0039
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5898;0.9988;0.7417;0.0044
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5898;0.9988;0.7417;0.0042
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9856;0.9915;0.9885;0.0064
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9909;0.9802;0.9855;0.0102
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9953;0.9617;0.9783;0.0161
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9961;0.9485;0.9717;0.0219
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9965;0.9330;0.9637;0.0288
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9965;0.9187;0.9560;0.0409
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9967;0.9095;0.9511;0.0450
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9969;0.8948;0.9431;0.0463
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9969;0.8832;0.9366;0.0532
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9974;0.8750;0.9322;0.0586
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9974;0.8612;0.9243;0.0718
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9980;0.7585;0.8619;0.1263
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9977;0.6567;0.7921;0.1890
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9974;0.5810;0.7343;0.2565
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9974;0.4828;0.6506;0.3068
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9967;0.3782;0.5484;0.3679
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9974;0.2860;0.4445;0.4153
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9974;0.1888;0.3174;0.4657
Architecture_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9950;0.1005;0.1826;0.4894
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5377;0.9978;0.6988;0.0048
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5326;0.9975;0.6944;0.0045
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5326;0.9975;0.6944;0.0042
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9836;0.9918;0.9877;0.0069
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9887;0.9868;0.9877;0.0093
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9936;0.9720;0.9827;0.0228
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9936;0.9643;0.9787;0.0217
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9958;0.9503;0.9725;0.0284
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9960;0.9373;0.9657;0.0336
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9968;0.9253;0.9597;0.0439
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9970;0.9140;0.9537;0.0468
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9975;0.9028;0.9478;0.0532
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9978;0.8940;0.9430;0.0589
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9977;0.8850;0.9380;0.0669
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9981;0.7877;0.8805;0.1261
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9982;0.7020;0.8243;0.1827
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9979;0.5998;0.7492;0.2481
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9980;0.5020;0.6680;0.3065
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9981;0.4007;0.5719;0.3817
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9975;0.3038;0.4657;0.4168
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9976;0.2042;0.3391;0.4650
Architecture_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.1030;0.1868;0.4945
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5255;0.9988;0.6886;0.0036
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5255;0.9988;0.6886;0.0040
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5255;0.9988;0.6886;0.0046
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9878;0.9902;0.9890;0.0077
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9922;0.9830;0.9876;0.0092
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9941;0.9745;0.9842;0.0155
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9956;0.9603;0.9776;0.0218
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9966;0.9433;0.9692;0.0282
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9968;0.9297;0.9621;0.0350
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9967;0.9157;0.9545;0.0444
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9970;0.9077;0.9503;0.0530
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9975;0.9015;0.9471;0.0522
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9980;0.8925;0.9423;0.0580
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9983;0.8780;0.9343;0.0739
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9984;0.7778;0.8744;0.1230
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9982;0.6910;0.8167;0.1855
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9979;0.5982;0.7480;0.2467
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9975;0.4928;0.6596;0.2977
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9969;0.4010;0.5719;0.3580
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9975;0.3020;0.4636;0.4187
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9988;0.2097;0.3467;0.4492
Architecture_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;1.0000;0.1115;0.2006;0.4889
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5277;0.9985;0.6905;0.0032
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5277;0.9985;0.6905;0.0038
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5277;0.9985;0.6905;0.0042
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9841;0.9900;0.9870;0.0065
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9904;0.9838;0.9871;0.0093
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9929;0.9722;0.9824;0.0154
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9951;0.9637;0.9792;0.0218
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9963;0.9437;0.9693;0.0286
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9965;0.9335;0.9640;0.0343
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9968;0.9237;0.9589;0.0401
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9970;0.9073;0.9500;0.0473
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9969;0.8968;0.9442;0.0518
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9972;0.8860;0.9383;0.0574
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9977;0.8760;0.9329;0.0673
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9981;0.7823;0.8771;0.1223
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9979;0.6990;0.8221;0.1901
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9979;0.5903;0.7418;0.2458
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9980;0.4898;0.6571;0.2884
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9974;0.3900;0.5607;0.3532
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9974;0.2830;0.4409;0.4178
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9973;0.1878;0.3160;0.4431
Architecture_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9949;0.0973;0.1772;0.4962
Architecture_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5346;0.9950;0.6955;0.0057
