Parametros;Precisao;Revocacao;F1-Score;Tempo
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9276;0.9988;0.9618;0.0043
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9276;0.9988;0.9618;0.0032
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9276;0.9988;0.9618;0.0034
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9552;0.9965;0.9754;0.0074
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9605;0.9918;0.9759;0.0095
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9688;0.9788;0.9738;0.0159
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9730;0.9715;0.9722;0.0307
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9773;0.9570;0.9670;0.0295
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9803;0.9443;0.9619;0.0338
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9821;0.9303;0.9554;0.0454
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9844;0.9175;0.9498;0.0470
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9845;0.9040;0.9425;0.0583
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9848;0.8915;0.9358;0.0589
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9852;0.8820;0.9307;0.0673
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9868;0.7843;0.8739;0.1290
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9886;0.6707;0.7992;0.1905
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9899;0.5893;0.7388;0.2512
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9906;0.4990;0.6637;0.3065
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9907;0.4015;0.5714;0.3678
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9889;0.3123;0.4746;0.4153
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9916;0.2070;0.3425;0.4842
Homicide_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9883;0.1057;0.1911;0.4966
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9023;1.0000;0.9487;0.0038
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9023;1.0000;0.9487;0.0040
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9023;1.0000;0.9487;0.0040
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9667;0.9945;0.9804;0.0090
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9687;0.9912;0.9799;0.0099
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9762;0.9762;0.9762;0.0169
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9782;0.9633;0.9707;0.0222
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9807;0.9503;0.9652;0.0282
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9827;0.9397;0.9608;0.0342
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9848;0.9210;0.9518;0.0481
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9846;0.9103;0.9460;0.0465
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9849;0.8982;0.9396;0.0575
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9858;0.8850;0.9327;0.0590
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9862;0.8748;0.9271;0.0676
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9879;0.7768;0.8697;0.1259
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9879;0.6745;0.8017;0.1881
Homicide_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9873;0.5853;0.7349;0.2397
