Parametros;Precisao;Revocacao;F1-Score;Tempo
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5126;0.9995;0.6776;0.0049
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5126;0.9995;0.6776;0.0045
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5126;0.9995;0.6776;0.0045
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6675;0.9935;0.7985;0.0067
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8893;0.9825;0.9336;0.0100
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9243;0.9710;0.9471;0.0164
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9445;0.9573;0.9508;0.0221
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9601;0.9433;0.9516;0.0306
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9636;0.9335;0.9483;0.0345
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9680;0.9220;0.9444;0.0456
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9726;0.9038;0.9369;0.0475
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9741;0.8928;0.9316;0.0571
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9769;0.8785;0.9251;0.0606
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9791;0.8665;0.9194;0.0725
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9851;0.7435;0.8474;0.1272
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9882;0.6268;0.7670;0.1893
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9893;0.5085;0.6717;0.2576
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9901;0.4255;0.5952;0.3102
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9900;0.3453;0.5120;0.3621
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9925;0.2647;0.4180;0.4211
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9905;0.1832;0.3093;0.4478
Hunting_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9901;0.1000;0.1817;0.4907
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5148;0.9895;0.6772;0.0047
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5172;0.9982;0.6813;0.0047
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5172;0.9982;0.6814;0.0046
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8063;0.9915;0.8893;0.0073
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8946;0.9825;0.9365;0.0103
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9353;0.9645;0.9497;0.0167
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9474;0.9545;0.9509;0.0217
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9593;0.9377;0.9484;0.0280
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9633;0.9245;0.9435;0.0340
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9665;0.9170;0.9411;0.0509
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9706;0.9005;0.9342;0.0471
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9766;0.8770;0.9241;0.0519
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9787;0.8608;0.9159;0.0574
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9795;0.8490;0.9096;0.0678
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9852;0.7330;0.8406;0.1241
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9920;0.6165;0.7604;0.1955
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9907;0.5055;0.6694;0.2454
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9898;0.4105;0.5803;0.3106
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9894;0.3260;0.4904;0.3615
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9915;0.2330;0.3773;0.4094
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9912;0.1400;0.2453;0.4534
Hunting_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9889;0.0670;0.1255;0.4898
Hunting_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5137;0.9998;0.6787;0.0046
