Parametros;Precisao;Revocacao;F1-Score;Tempo
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9003;0.9980;0.9466;0.0049
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9003;0.9980;0.9466;0.0037
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9003;0.9980;0.9466;0.0039
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9574;0.9890;0.9729;0.0066
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9802;0.9760;0.9781;0.0102
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9866;0.9570;0.9716;0.0156
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9882;0.9435;0.9653;0.0221
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9904;0.9295;0.9590;0.0284
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9929;0.9137;0.9517;0.0336
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9939;0.8932;0.9409;0.0443
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9944;0.8808;0.9341;0.0461
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9948;0.8650;0.9254;0.0528
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9951;0.8568;0.9207;0.0581
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9953;0.8448;0.9139;0.0699
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9966;0.7288;0.8419;0.1281
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9968;0.6310;0.7728;0.1952
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9972;0.5360;0.6972;0.2392
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9966;0.4425;0.6129;0.2884
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9972;0.3593;0.5282;0.3697
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9982;0.2790;0.4361;0.4062
Inflation_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9973;0.1862;0.3139;0.4522
