Parametros;Precisao;Revocacao;F1-Score;Tempo
Law_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5471;0.9935;0.7056;0.0051
Law_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5494;0.9938;0.7076;0.0047
Law_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5503;0.9935;0.7083;0.0063
Law_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5636;0.9637;0.7113;0.0070
Law_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.5950;0.9573;0.7339;0.0100
Law_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.7465;0.9430;0.8333;0.0161
Law_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8222;0.9327;0.8740;0.0220
Law_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8537;0.9235;0.8872;0.0282
Law_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8678;0.9190;0.8927;0.0412
Law_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.8866;0.9048;0.8956;0.0429
Law_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.8934;0.8992;0.8963;0.0466
Law_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.8994;0.8850;0.8921;0.0529
Law_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9070;0.8675;0.8868;0.0624
Law_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9094;0.8578;0.8828;0.0662
Law_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9401;0.7730;0.8484;0.1314
Law_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9507;0.6853;0.7965;0.1816
Law_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9587;0.5807;0.7233;0.2467
Law_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9622;0.5022;0.6600;0.2968
Law_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9626;0.4118;0.5768;0.3678
Law_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9668;0.3058;0.4646;0.4044
Law_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9654;0.1953;0.3248;0.4511
Law_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9663;0.0932;0.1701;0.4869
Law_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5911;0.9988;0.7426;0.0042
Law_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5911;0.9988;0.7426;0.0034
Law_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5911;0.9988;0.7426;0.0037
Law_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7764;0.9895;0.8701;0.0063
Law_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8204;0.9790;0.8927;0.0103
Law_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8564;0.9650;0.9075;0.0161
Law_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8675;0.9507;0.9072;0.0222
Law_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8842;0.9295;0.9063;0.0303
Law_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8938;0.9220;0.9077;0.0345
Law_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9057;0.9080;0.9069;0.0443
Law_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9168;0.8958;0.9062;0.0463
Law_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9217;0.8862;0.9036;0.0524
Law_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9243;0.8765;0.8998;0.0631
Law_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9296;0.8650;0.8961;0.0686
Law_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9485;0.7695;0.8497;0.1232
Law_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9589;0.6823;0.7973;0.1875
Law_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9652;0.5900;0.7324;0.2394
Law_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9711;0.5040;0.6636;0.3032
Law_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9685;0.3992;0.5654;0.3694
Law_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9741;0.3005;0.4593;0.4032
Law_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9790;0.1862;0.3130;0.4589
Law_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9814;0.0925;0.1691;0.4829
Law_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5446;0.9992;0.7049;0.0033
Law_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5446;0.9992;0.7049;0.0033
Law_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5448;0.9992;0.7052;0.0039
Law_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7463;0.9870;0.8499;0.0078
Law_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7629;0.9702;0.8542;0.0096
Law_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8159;0.9473;0.8767;0.0178
Law_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8420;0.9393;0.8880;0.0218
Law_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8565;0.9253;0.8896;0.0297
Law_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8699;0.9175;0.8931;0.0350
Law_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.8827;0.9087;0.8955;0.0452
Law_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.8933;0.9002;0.8968;0.0468
Law_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.8988;0.8900;0.8944;0.0514
Law_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9068;0.8708;0.8884;0.0577
Law_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9124;0.8592;0.8850;0.0656
Law_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9408;0.7672;0.8452;0.1274
Law_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9560;0.6905;0.8019;0.1892
Law_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9642;0.6000;0.7397;0.2552
Law_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9695;0.5085;0.6671;0.3012
Law_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9683;0.4052;0.5714;0.3588
Law_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9668;0.3055;0.4643;0.4345
Law_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9667;0.1888;0.3158;0.4494
Law_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9687;0.0850;0.1563;0.4939
Law_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5257;0.9912;0.6871;0.0050
Law_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5269;0.9950;0.6889;0.0046
Law_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5270;0.9948;0.6889;0.0045
Law_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5558;0.9795;0.7092;0.0070
Law_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.5768;0.9692;0.7232;0.0102
Law_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.7249;0.9477;0.8215;0.0168
Law_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.7864;0.9350;0.8543;0.0221
Law_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8527;0.9233;0.8866;0.0291
Law_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8649;0.9137;0.8886;0.0341
Law_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.8722;0.9042;0.8879;0.0443
Law_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.8806;0.8942;0.8874;0.0457
Law_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.8854;0.8868;0.8861;0.0522
Law_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.8909;0.8818;0.8863;0.0597
Law_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.8985;0.8672;0.8826;0.0686
Law_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9342;0.7740;0.8466;0.1230
Law_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9439;0.6817;0.7917;0.1837
Law_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9524;0.5952;0.7326;0.2514
Law_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9611;0.5130;0.6689;0.3022
Law_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9624;0.4228;0.5875;0.3626
Law_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9625;0.3332;0.4951;0.4078
Law_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9636;0.2315;0.3733;0.4586
Law_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9637;0.1263;0.2233;0.4944
Law_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5349;0.9990;0.6968;0.0036
Law_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5349;0.9990;0.6968;0.0034
Law_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5349;0.9990;0.6968;0.0039
Law_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.5857;0.9922;0.7366;0.0068
Law_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.6346;0.9888;0.7731;0.0096
Law_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.7403;0.9728;0.8408;0.0167
Law_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.7934;0.9550;0.8667;0.0218
Law_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.8348;0.9387;0.8837;0.0280
Law_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.8508;0.9250;0.8863;0.0347
Law_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.8654;0.9163;0.8901;0.0470
Law_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.8773;0.9048;0.8908;0.0462
Law_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.8838;0.8952;0.8895;0.0515
Law_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.8874;0.8885;0.8879;0.0578
Law_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.8909;0.8780;0.8844;0.0665
Law_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9316;0.7863;0.8528;0.1253
Law_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9439;0.6935;0.7995;0.1905
Law_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9553;0.5880;0.7279;0.2402
Law_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9614;0.4915;0.6505;0.2999
Law_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9626;0.3987;0.5639;0.3717
Law_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9647;0.3140;0.4738;0.4079
Law_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9719;0.2162;0.3538;0.4545
Law_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9821;0.1098;0.1974;0.4929
Law_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5141;0.9990;0.6788;0.0036
Law_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5141;0.9990;0.6788;0.0046
Law_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5141;0.9990;0.6788;0.0035
Law_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5195;0.9898;0.6814;0.0067
Law_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.5381;0.9647;0.6909;0.0098
Law_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.6822;0.9420;0.7913;0.0161
Law_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.7432;0.9305;0.8264;0.0219
Law_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.7702;0.9253;0.8407;0.0278
Law_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.7962;0.9200;0.8536;0.0337
Law_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.8074;0.9130;0.8570;0.0420
Law_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.8313;0.9020;0.8652;0.0471
Law_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.8375;0.8970;0.8662;0.0561
Law_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.8470;0.8882;0.8671;0.0585
Law_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.8560;0.8780;0.8668;0.0689
Law_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.8979;0.7893;0.8401;0.1242
Law_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.9219;0.6935;0.7916;0.1949
Law_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.9350;0.6112;0.7392;0.2404
Law_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.9416;0.5238;0.6731;0.2955
Law_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.9421;0.4355;0.5957;0.3778
Law_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.9499;0.3367;0.4972;0.4129
Law_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;0.9488;0.2318;0.3725;0.4513
Law_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;0.9519;0.1138;0.2032;0.5046
Law_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5262;0.9975;0.6889;0.0061
Law_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5242;0.9978;0.6873;0.0064
Law_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5240;0.9978;0.6872;0.0059
Law_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.5317;0.9950;0.6930;0.0112
Law_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.5548;0.9900;0.7111;0.0142
Law_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.6335;0.9587;0.7629;0.0196
Law_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.7431;0.9415;0.8306;0.0262
Law_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.7908;0.9280;0.8539;0.0295
Law_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.8180;0.9160;0.8643;0.0349
Law_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.8298;0.9058;0.8661;0.0467
Law_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.8445;0.8990;0.8709;0.0465
Law_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.8571;0.8890;0.8727;0.0525
Law_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.8645;0.8802;0.8723;0.0596
Law_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.8747;0.8728;0.8737;0.0838
Law_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9163;0.7825;0.8441;0.1277
Law_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9388;0.6905;0.7957;0.2005
Law_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9445;0.6125;0.7431;0.2474
Law_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9533;0.5208;0.6736;0.2969
Law_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9583;0.4253;0.5891;0.3910
Law_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9582;0.3207;0.4806;0.4278
Law_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9623;0.2235;0.3628;0.4709
Law_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9510;0.1067;0.1920;0.5102
Law_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5196;0.9935;0.6823;0.0041
Law_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5196;0.9935;0.6823;0.0040
Law_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5196;0.9935;0.6823;0.0040
Law_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.5295;0.9655;0.6840;0.0068
Law_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.5652;0.9563;0.7104;0.0113
Law_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.7165;0.9410;0.8136;0.0160
Law_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.7799;0.9335;0.8498;0.0236
Law_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.8097;0.9265;0.8642;0.0283
Law_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.8352;0.9197;0.8754;0.0335
Law_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.8522;0.9097;0.8800;0.0406
Law_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.8591;0.9025;0.8803;0.0463
Law_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.8680;0.8942;0.8809;0.0532
Law_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.8771;0.8868;0.8819;0.0643
Law_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.8837;0.8778;0.8807;0.0682
Law_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.9176;0.7823;0.8445;0.1253
Law_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.9341;0.6907;0.7942;0.1940
Law_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.9457;0.6055;0.7383;0.2457
Law_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.9505;0.5090;0.6630;0.2941
Law_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.9533;0.4032;0.5668;0.3673
Law_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.9533;0.3115;0.4696;0.4204
Law_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.9525;0.2258;0.3650;0.4662
Law_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.9575;0.1240;0.2196;0.4915
Law_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.5287;0.8125;0.6406;0.0098
Law_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.5261;0.8455;0.6486;0.0127
Law_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.5273;0.8898;0.6622;0.0155
Law_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.5505;0.9748;0.7036;0.0160
Law_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.5480;0.9712;0.7007;0.0205
Law_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.5734;0.9677;0.7201;0.0216
Law_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.5913;0.9550;0.7304;0.0270
Law_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.6210;0.9490;0.7507;0.0326
Law_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.6699;0.9407;0.7826;0.0449
Law_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.7030;0.9277;0.7999;0.0455
Law_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.7082;0.9175;0.7994;0.0491
Law_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.7258;0.9025;0.8045;0.0551
Law_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.7342;0.8895;0.8044;0.0720
Law_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.7426;0.8900;0.8096;0.0700
Law_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.8091;0.7903;0.7995;0.1236
Law_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.8463;0.7023;0.7676;0.1862
Law_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.8655;0.6242;0.7253;0.2529
Law_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.8838;0.5383;0.6690;0.2992
Law_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.9021;0.4422;0.5935;0.3452
Law_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.9101;0.3367;0.4916;0.3877
Law_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.9169;0.2235;0.3594;0.4372
Law_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.9266;0.1263;0.2222;0.4742
Law_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.5122;0.9980;0.6770;0.0038
Law_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.5122;0.9980;0.6770;0.0045
Law_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.5122;0.9980;0.6770;0.0040
Law_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.5165;0.9965;0.6803;0.0075
Law_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.5345;0.9760;0.6907;0.0103
Law_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.6704;0.9500;0.7861;0.0154
Law_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.7374;0.9373;0.8254;0.0225
Law_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.7692;0.9307;0.8423;0.0283
Law_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.7882;0.9245;0.8509;0.0366
Law_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.8083;0.9130;0.8575;0.0425
Law_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.8226;0.9005;0.8598;0.0533
Law_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.8294;0.8935;0.8603;0.0536
Law_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.8441;0.8782;0.8608;0.0587
Law_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.8527;0.8730;0.8628;0.0744
Law_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8967;0.7860;0.8377;0.1281
Law_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.9208;0.6943;0.7916;0.1927
Law_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.9335;0.6142;0.7410;0.2480
Law_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.9370;0.5240;0.6721;0.3095
Law_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.9445;0.4258;0.5869;0.3789
Law_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.9497;0.3255;0.4848;0.4136
Law_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.9460;0.2057;0.3380;0.4708
Law_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.9479;0.1000;0.1809;0.4942
