Parametros;Precisao;Revocacao;F1-Score;Tempo
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6942;0.9988;0.8191;0.0045
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6942;0.9988;0.8191;0.0045
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6942;0.9988;0.8191;0.0038
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7944;0.9970;0.8843;0.0063
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9510;0.9952;0.9726;0.0096
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9788;0.9825;0.9807;0.0159
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9853;0.9702;0.9777;0.0216
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9904;0.9575;0.9737;0.0280
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9911;0.9450;0.9675;0.0352
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9918;0.9363;0.9632;0.0455
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9927;0.9235;0.9569;0.0467
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9929;0.9150;0.9524;0.0513
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9939;0.9010;0.9452;0.0586
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9950;0.8922;0.9408;0.0664
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9962;0.7905;0.8815;0.1405
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9982;0.6900;0.8160;0.1904
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9979;0.5833;0.7362;0.2411
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9989;0.4615;0.6313;0.2985
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9987;0.3700;0.5399;0.3736
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9991;0.2717;0.4273;0.4340
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9986;0.1777;0.3018;0.4473
Restaurant_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9972;0.0895;0.1643;0.4917
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8039;0.9982;0.8906;0.0047
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8070;0.9982;0.8925;0.0051
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8070;0.9982;0.8925;0.0050
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8946;0.9952;0.9422;0.0077
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9202;0.9918;0.9546;0.0115
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9719;0.9852;0.9785;0.0176
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9865;0.9712;0.9788;0.0282
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9892;0.9617;0.9753;0.0312
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9914;0.9537;0.9722;0.0402
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9934;0.9437;0.9679;0.0436
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9949;0.9280;0.9603;0.0465
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9951;0.9197;0.9560;0.0515
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9951;0.9075;0.9493;0.0579
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9955;0.8945;0.9423;0.0708
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9975;0.7890;0.8811;0.1238
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9978;0.6755;0.8056;0.1851
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9982;0.5623;0.7193;0.2412
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9984;0.4703;0.6394;0.2982
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9980;0.3703;0.5401;0.3645
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9983;0.2935;0.4536;0.4152
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9987;0.1973;0.3294;0.4604
Restaurant_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9974;0.0968;0.1764;0.4836
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7468;0.9985;0.8545;0.0042
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7468;0.9985;0.8545;0.0032
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7468;0.9985;0.8545;0.0033
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9193;0.9962;0.9562;0.0061
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9479;0.9908;0.9688;0.0093
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9800;0.9778;0.9789;0.0158
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9858;0.9700;0.9778;0.0215
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9893;0.9520;0.9703;0.0290
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9911;0.9433;0.9666;0.0340
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9930;0.9247;0.9577;0.0409
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9938;0.9160;0.9533;0.0457
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9942;0.9058;0.9479;0.0514
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9947;0.8955;0.9425;0.0569
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9950;0.8888;0.9389;0.0681
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9965;0.7907;0.8818;0.1260
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9978;0.6843;0.8118;0.1855
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9974;0.5763;0.7305;0.2458
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9974;0.4750;0.6435;0.2965
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9973;0.3685;0.5382;0.3594
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9966;0.2893;0.4484;0.4138
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9962;0.1973;0.3293;0.4622
Restaurant_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9946;0.0920;0.1684;0.5005
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6104;0.9992;0.7579;0.0045
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6104;0.9992;0.7579;0.0042
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6104;0.9992;0.7579;0.0040
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6521;0.9980;0.7888;0.0069
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9065;0.9960;0.9491;0.0095
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9734;0.9890;0.9812;0.0153
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9844;0.9762;0.9803;0.0220
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9882;0.9650;0.9765;0.0279
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9906;0.9520;0.9709;0.0344
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9924;0.9413;0.9661;0.0403
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9928;0.9320;0.9614;0.0486
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9932;0.9180;0.9541;0.0519
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9940;0.9038;0.9467;0.0573
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9944;0.8928;0.9409;0.0785
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9969;0.7930;0.8833;0.1235
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9985;0.6865;0.8136;0.2002
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9983;0.5903;0.7419;0.2383
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9979;0.4748;0.6434;0.2937
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9987;0.3825;0.5531;0.3664
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9991;0.2873;0.4462;0.4148
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9987;0.1933;0.3238;0.4533
Restaurant_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.1087;0.1962;0.4981
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5802;0.9998;0.7342;0.0038
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5802;0.9998;0.7342;0.0038
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5802;0.9998;0.7342;0.0034
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6289;0.9968;0.7712;0.0066
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9023;0.9952;0.9465;0.0123
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9722;0.9885;0.9803;0.0154
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9822;0.9772;0.9797;0.0287
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9872;0.9650;0.9760;0.0273
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9903;0.9480;0.9687;0.0344
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9913;0.9393;0.9646;0.0438
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9925;0.9300;0.9602;0.0461
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9927;0.9173;0.9535;0.0518
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9940;0.9048;0.9473;0.0571
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9944;0.8945;0.9418;0.0729
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9963;0.7997;0.8873;0.1260
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9982;0.6917;0.8172;0.1986
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9982;0.5667;0.7230;0.2426
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9984;0.4582;0.6282;0.2920
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9993;0.3738;0.5440;0.3680
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;1.0000;0.2853;0.4439;0.4034
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;1.0000;0.1905;0.3200;0.4557
Restaurant_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;1.0000;0.1020;0.1851;0.4836
Restaurant_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5241;0.9972;0.6871;0.0046
Restaurant_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5223;0.9975;0.6856;0.0053
Restaurant_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5229;0.9975;0.6861;0.0061
Restaurant_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5266;0.9965;0.6890;0.0082
Restaurant_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.6825;0.9962;0.8100;0.0110
