Parametros;Precisao;Revocacao;F1-Score;Tempo
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8135;0.9990;0.8968;0.0037
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8135;0.9990;0.8968;0.0045
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8135;0.9990;0.8968;0.0044
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9212;0.9962;0.9572;0.0073
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9721;0.9930;0.9824;0.0099
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9855;0.9872;0.9864;0.0164
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9894;0.9815;0.9854;0.0217
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9916;0.9740;0.9827;0.0279
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9933;0.9643;0.9786;0.0340
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9945;0.9517;0.9727;0.0432
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9955;0.9445;0.9693;0.0555
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9968;0.9353;0.9650;0.0537
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9970;0.9240;0.9591;0.0581
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9975;0.9127;0.9533;0.0727
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9991;0.8067;0.8927;0.1237
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9993;0.6980;0.8219;0.1833
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9992;0.6022;0.7515;0.2499
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9990;0.5005;0.6669;0.2986
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9988;0.4143;0.5856;0.3612
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9992;0.3172;0.4816;0.4030
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9988;0.2087;0.3453;0.4639
Unemployment_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9977;0.1062;0.1920;0.4891
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9165;0.9982;0.9556;0.0039
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9165;0.9982;0.9556;0.0044
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9165;0.9982;0.9556;0.0038
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9592;0.9940;0.9763;0.0062
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9746;0.9888;0.9816;0.0090
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9854;0.9790;0.9822;0.0169
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9883;0.9673;0.9776;0.0219
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9897;0.9575;0.9733;0.0315
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9903;0.9483;0.9688;0.0333
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9910;0.9405;0.9651;0.0448
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9915;0.9323;0.9610;0.0511
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9930;0.9237;0.9571;0.0583
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9943;0.9113;0.9510;0.0578
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9945;0.8980;0.9438;0.0661
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9965;0.7935;0.8835;0.1230
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9979;0.6970;0.8207;0.1871
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9979;0.5952;0.7457;0.2589
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9985;0.5072;0.6727;0.3108
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9982;0.4093;0.5805;0.3572
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9992;0.3000;0.4614;0.4053
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;1.0000;0.2057;0.3413;0.4656
Unemployment_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0948;0.1731;0.4800
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8812;0.9992;0.9365;0.0039
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8812;0.9992;0.9365;0.0042
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8812;0.9992;0.9365;0.0041
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9478;0.9950;0.9709;0.0069
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9765;0.9888;0.9826;0.0102
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9849;0.9788;0.9818;0.0168
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9882;0.9667;0.9774;0.0240
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9891;0.9553;0.9719;0.0291
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9913;0.9367;0.9632;0.0364
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9923;0.9283;0.9592;0.0478
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9927;0.9195;0.9547;0.0468
Unemployment_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9929;0.9040;0.9463;0.0576
