Parametros;Precisao;Revocacao;F1-Score;Tempo
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5177;0.9995;0.6821;0.0031
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5177;0.9995;0.6821;0.0034
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5177;0.9995;0.6821;0.0035
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9505;0.9945;0.9720;0.0071
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9715;0.9872;0.9793;0.0098
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9811;0.9752;0.9782;0.0156
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9852;0.9633;0.9741;0.0217
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9873;0.9545;0.9706;0.0280
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9880;0.9447;0.9659;0.0337
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9896;0.9307;0.9593;0.0397
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9903;0.9203;0.9540;0.0501
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9907;0.9073;0.9471;0.0541
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9912;0.8972;0.9419;0.0574
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9916;0.8860;0.9358;0.0659
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9925;0.7983;0.8849;0.1319
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9946;0.6917;0.8160;0.1868
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9955;0.6060;0.7534;0.2394
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9951;0.5092;0.6737;0.2970
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9957;0.4042;0.5750;0.3757
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9948;0.2878;0.4464;0.4128
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9960;0.1862;0.3138;0.4621
Automotive_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9972;0.0902;0.1655;0.4900
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5189;0.9970;0.6826;0.0046
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5198;0.9978;0.6835;0.0040
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5196;0.9975;0.6833;0.0041
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9680;0.9910;0.9794;0.0060
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9787;0.9892;0.9840;0.0101
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9822;0.9808;0.9815;0.0155
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9883;0.9677;0.9779;0.0216
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9891;0.9567;0.9727;0.0275
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9898;0.9500;0.9695;0.0332
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9913;0.9385;0.9642;0.0396
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9915;0.9320;0.9608;0.0549
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9917;0.9205;0.9548;0.0509
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9921;0.9125;0.9506;0.0570
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9926;0.9020;0.9451;0.0627
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9940;0.7865;0.8782;0.1300
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9941;0.6770;0.8055;0.1868
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9952;0.5687;0.7238;0.2445
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9945;0.4542;0.6236;0.2998
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9944;0.3530;0.5210;0.3613
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9952;0.2590;0.4110;0.4086
Automotive_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9953;0.1593;0.2746;0.4514
