Parametros;Precisao;Revocacao;F1-Score;Tempo
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5255;0.9972;0.6883;0.0053
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5269;0.9980;0.6897;0.0050
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5258;0.9980;0.6888;0.0057
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.5278;0.9960;0.6900;0.0067
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.5339;0.9888;0.6934;0.0102
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.5372;0.9772;0.6933;0.0161
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.5431;0.9667;0.6955;0.0213
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.5492;0.9510;0.6963;0.0278
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.5528;0.9425;0.6969;0.0361
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.5648;0.9285;0.7023;0.0421
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.5770;0.9120;0.7068;0.0456
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.5868;0.8972;0.7096;0.0514
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.5958;0.8868;0.7127;0.0574
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.5989;0.8788;0.7123;0.0716
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.6610;0.7897;0.7197;0.1276
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.7124;0.6887;0.7004;0.1879
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.7518;0.5830;0.6567;0.2469
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.7834;0.4865;0.6002;0.3012
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.8029;0.3797;0.5156;0.3547
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.8124;0.2848;0.4217;0.4244
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.8220;0.1928;0.3123;0.4398
Cancer_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.8340;0.1017;0.1814;0.4831
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6823;0.9365;0.7895;0.0076
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6960;0.9932;0.8185;0.0071
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6977;0.9958;0.8205;0.0075
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7031;0.9940;0.8236;0.0088
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8759;0.9915;0.9301;0.0115
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9545;0.9858;0.9699;0.0164
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9753;0.9782;0.9768;0.0228
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9775;0.9755;0.9765;0.0295
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9837;0.9650;0.9743;0.0345
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9884;0.9563;0.9720;0.0455
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9911;0.9470;0.9686;0.0524
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9941;0.9337;0.9630;0.0520
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9949;0.9243;0.9583;0.0575
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9959;0.9150;0.9537;0.0685
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9975;0.8087;0.8933;0.1257
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9976;0.7230;0.8384;0.1898
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9973;0.6365;0.7770;0.2363
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9968;0.5395;0.7001;0.2918
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9977;0.4417;0.6124;0.3537
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9970;0.3347;0.5012;0.4025
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9966;0.2185;0.3584;0.4481
Cancer_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9954;0.1085;0.1957;0.4745
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8614;0.9915;0.9219;0.0074
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8559;0.9918;0.9188;0.0084
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8622;0.9918;0.9225;0.0074
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9134;0.9918;0.9510;0.0091
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9821;0.9880;0.9850;0.0120
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9874;0.9818;0.9846;0.0162
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9954;0.9688;0.9819;0.0224
Cancer_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9959;0.9613;0.9782;0.0281
