Parametros;Precisao;Revocacao;F1-Score;Tempo
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7015;0.9992;0.8243;0.0037
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7015;0.9992;0.8243;0.0033
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7015;0.9992;0.8243;0.0041
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8122;0.9935;0.8937;0.0070
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9782;0.9885;0.9833;0.0098
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9896;0.9788;0.9842;0.0166
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9918;0.9670;0.9792;0.0216
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9925;0.9577;0.9748;0.0276
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9935;0.9483;0.9703;0.0337
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9939;0.9355;0.9638;0.0389
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9938;0.9247;0.9580;0.0540
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9937;0.9115;0.9508;0.0516
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9942;0.8990;0.9442;0.0568
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9941;0.8822;0.9348;0.0637
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9952;0.7748;0.8712;0.1346
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9952;0.6685;0.7998;0.1892
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9947;0.5673;0.7225;0.2398
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9952;0.4708;0.6392;0.2931
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9959;0.3623;0.5313;0.3537
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9954;0.2685;0.4229;0.4081
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9959;0.1812;0.3067;0.4525
Christmas_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9942;0.0853;0.1570;0.4837
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7792;0.9888;0.8715;0.0049
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7902;0.9970;0.8816;0.0045
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7913;0.9972;0.8824;0.0092
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8800;0.9938;0.9334;0.0072
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9890;0.9885;0.9887;0.0103
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9928;0.9712;0.9819;0.0159
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9933;0.9593;0.9760;0.0219
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9932;0.9490;0.9706;0.0275
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9936;0.9385;0.9653;0.0343
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9938;0.9260;0.9587;0.0410
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9938;0.9197;0.9553;0.0504
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9943;0.9080;0.9492;0.0528
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9942;0.8978;0.9435;0.0566
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9941;0.8842;0.9360;0.0671
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9952;0.7840;0.8771;0.1244
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9951;0.6595;0.7933;0.1821
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9947;0.5635;0.7194;0.2524
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9953;0.4720;0.6403;0.2977
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9942;0.3855;0.5556;0.3623
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9939;0.2875;0.4460;0.4134
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9936;0.1943;0.3250;0.4539
Christmas_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9923;0.0968;0.1763;0.4959
