Parametros;Precisao;Revocacao;F1-Score;Tempo
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5116;0.9998;0.6769;0.0038
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5116;0.9998;0.6769;0.0039
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5116;0.9998;0.6769;0.0037
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7203;0.9955;0.8359;0.0066
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8266;0.9915;0.9016;0.0101
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9284;0.9795;0.9533;0.0171
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9620;0.9677;0.9649;0.0241
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9721;0.9567;0.9643;0.0277
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9757;0.9447;0.9600;0.0350
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9798;0.9343;0.9565;0.0400
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9829;0.9207;0.9508;0.0532
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9856;0.9097;0.9462;0.0511
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9869;0.9028;0.9429;0.0573
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9884;0.8912;0.9373;0.0670
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9928;0.7955;0.8833;0.1311
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9945;0.6843;0.8107;0.1815
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9950;0.5982;0.7472;0.2370
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9956;0.5058;0.6708;0.2957
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9964;0.4110;0.5819;0.3583
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9966;0.2950;0.4552;0.4047
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9962;0.1985;0.3310;0.4545
Consumers_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.0963;0.1756;0.4792
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5129;0.9998;0.6780;0.0038
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5129;0.9998;0.6780;0.0038
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5129;0.9998;0.6780;0.0034
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7650;0.9952;0.8651;0.0063
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8833;0.9920;0.9345;0.0092
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9400;0.9788;0.9590;0.0211
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9698;0.9647;0.9673;0.0211
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9751;0.9590;0.9670;0.0273
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9801;0.9465;0.9630;0.0343
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9815;0.9393;0.9599;0.0392
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9851;0.9237;0.9534;0.0456
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9886;0.9110;0.9482;0.0547
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9899;0.9048;0.9454;0.0577
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9898;0.9008;0.9432;0.0681
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9933;0.7833;0.8759;0.1261
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9938;0.6810;0.8082;0.1863
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9953;0.5807;0.7335;0.2455
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9964;0.4860;0.6533;0.2915
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9968;0.3887;0.5594;0.3660
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9974;0.2915;0.4512;0.4092
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9974;0.1953;0.3266;0.4596
Consumers_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9946;0.0912;0.1672;0.4885
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5332;0.9992;0.6954;0.0051
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5332;0.9992;0.6954;0.0036
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5332;0.9992;0.6954;0.0037
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7870;0.9950;0.8789;0.0065
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8801;0.9888;0.9312;0.0146
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9474;0.9765;0.9617;0.0181
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9650;0.9587;0.9619;0.0235
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9754;0.9510;0.9630;0.0273
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9821;0.9353;0.9581;0.0336
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9861;0.9253;0.9547;0.0424
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9873;0.9165;0.9506;0.0456
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9878;0.9087;0.9466;0.0515
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9879;0.8978;0.9407;0.0576
Consumers_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9895;0.8915;0.9379;0.0676
