Parametros;Precisao;Revocacao;F1-Score;Tempo
Employment_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5826;1.0000;0.7362;0.0040
Employment_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5826;1.0000;0.7362;0.0039
Employment_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5826;1.0000;0.7362;0.0038
Employment_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6554;0.9955;0.7904;0.0072
Employment_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8185;0.9898;0.8960;0.0100
Employment_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9352;0.9745;0.9545;0.0154
Employment_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9480;0.9610;0.9544;0.0209
Employment_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9537;0.9533;0.9535;0.0274
Employment_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9582;0.9405;0.9493;0.0329
Employment_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9608;0.9250;0.9426;0.0398
Employment_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9619;0.9155;0.9381;0.0480
Employment_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9666;0.8972;0.9306;0.0556
Employment_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9687;0.8830;0.9239;0.0569
Employment_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9702;0.8708;0.9178;0.0627
Employment_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9828;0.7412;0.8451;0.1327
Employment_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9833;0.6318;0.7693;0.1817
Employment_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9837;0.5440;0.7006;0.2392
Employment_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9853;0.4525;0.6202;0.2910
Employment_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9864;0.3630;0.5307;0.3630
Employment_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9875;0.2770;0.4326;0.4073
Employment_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9843;0.1875;0.3150;0.4488
Employment_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9840;0.1077;0.1942;0.4832
Employment_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5401;0.9995;0.7012;0.0037
Employment_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5401;0.9995;0.7012;0.0039
Employment_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5401;0.9995;0.7012;0.0038
Employment_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6200;0.9958;0.7642;0.0066
Employment_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8184;0.9918;0.8968;0.0096
Employment_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9413;0.9742;0.9575;0.0154
Employment_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9546;0.9613;0.9579;0.0219
Employment_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9569;0.9490;0.9529;0.0289
Employment_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9598;0.9317;0.9456;0.0330
