Parametros;Precisao;Revocacao;F1-Score;Tempo
Family_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7259;0.9982;0.8405;0.0042
Family_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7259;0.9982;0.8405;0.0042
Family_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7259;0.9982;0.8405;0.0037
Family_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7855;0.9950;0.8779;0.0066
Family_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8778;0.9910;0.9310;0.0100
Family_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9230;0.9825;0.9518;0.0158
Family_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9477;0.9695;0.9585;0.0219
Family_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9651;0.9605;0.9628;0.0280
Family_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9734;0.9505;0.9618;0.0342
Family_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9766;0.9393;0.9576;0.0397
Family_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9799;0.9265;0.9525;0.0450
Family_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9812;0.9145;0.9467;0.0513
Family_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9826;0.9052;0.9424;0.0565
Family_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9841;0.8970;0.9385;0.0661
Family_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9866;0.7742;0.8676;0.1248
Family_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9893;0.6687;0.7980;0.1898
Family_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9895;0.5665;0.7205;0.2566
Family_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9897;0.4783;0.6449;0.2932
Family_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9882;0.3772;0.5460;0.3623
Family_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9870;0.2838;0.4408;0.4078
Family_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9855;0.1872;0.3147;0.4525
Family_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9853;0.0840;0.1548;0.4962
Family_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7788;0.9982;0.8750;0.0032
Family_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7788;0.9982;0.8750;0.0034
Family_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7788;0.9982;0.8750;0.0032
Family_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8473;0.9948;0.9151;0.0060
Family_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8854;0.9905;0.9350;0.0091
