Parametros;Precisao;Revocacao;F1-Score;Tempo
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7796;0.9975;0.8752;0.0037
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7796;0.9975;0.8752;0.0036
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7796;0.9975;0.8752;0.0035
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9021;0.9930;0.9454;0.0069
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9392;0.9815;0.9599;0.0091
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9493;0.9732;0.9611;0.0152
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9697;0.9603;0.9650;0.0212
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9823;0.9453;0.9634;0.0276
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9853;0.9375;0.9608;0.0332
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9867;0.9260;0.9554;0.0396
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9894;0.9135;0.9500;0.0551
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9920;0.9020;0.9449;0.0531
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9933;0.8908;0.9392;0.0572
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9933;0.8850;0.9360;0.0624
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9974;0.7718;0.8702;0.1289
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9982;0.6813;0.8098;0.1849
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9996;0.5765;0.7313;0.2386
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;1.0000;0.4720;0.6413;0.3024
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;1.0000;0.3777;0.5484;0.3816
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;1.0000;0.2903;0.4499;0.4029
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;1.0000;0.1915;0.3214;0.4448
Logistics_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.0993;0.1806;0.4944
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7613;0.9975;0.8635;0.0033
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7613;0.9975;0.8635;0.0030
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7614;0.9978;0.8637;0.0030
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8993;0.9890;0.9420;0.0061
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9129;0.9855;0.9478;0.0102
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9349;0.9770;0.9555;0.0157
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9639;0.9603;0.9621;0.0252
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9747;0.9530;0.9637;0.0283
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9801;0.9375;0.9583;0.0334
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9827;0.9247;0.9529;0.0389
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9870;0.9130;0.9486;0.0499
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9888;0.9030;0.9439;0.0507
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9911;0.8892;0.9374;0.0564
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9910;0.8832;0.9340;0.0631
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9977;0.7720;0.8705;0.1359
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9978;0.6825;0.8106;0.1775
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9987;0.5805;0.7342;0.2488
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9990;0.4885;0.6561;0.2927
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9988;0.4030;0.5743;0.3639
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9984;0.3075;0.4702;0.4011
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9987;0.1985;0.3312;0.4633
Logistics_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0917;0.1681;0.4837
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8143;0.9968;0.8964;0.0041
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8143;0.9968;0.8964;0.0043
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8144;0.9962;0.8962;0.0043
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9103;0.9925;0.9496;0.0067
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9331;0.9862;0.9589;0.0095
Logistics_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9610;0.9732;0.9671;0.0154
