Parametros;Precisao;Revocacao;F1-Score;Tempo
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7945;0.9992;0.8852;0.0043
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7945;0.9992;0.8852;0.0036
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7945;0.9992;0.8852;0.0035
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9592;0.9868;0.9728;0.0060
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9696;0.9820;0.9758;0.0096
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9888;0.9705;0.9796;0.0149
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9930;0.9553;0.9738;0.0225
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9957;0.9365;0.9652;0.0324
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9973;0.9127;0.9531;0.0331
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9978;0.9022;0.9476;0.0423
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9977;0.8860;0.9386;0.0452
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9986;0.8748;0.9326;0.0510
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9988;0.8650;0.9271;0.0570
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9988;0.8430;0.9143;0.0666
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9993;0.7288;0.8429;0.1321
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9992;0.6315;0.7739;0.1918
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9995;0.5483;0.7081;0.2369
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9994;0.4490;0.6196;0.3020
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;1.0000;0.3670;0.5369;0.3577
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;1.0000;0.2795;0.4369;0.4082
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;1.0000;0.1918;0.3218;0.4588
Mosque_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.0943;0.1723;0.4850
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6789;0.9985;0.8083;0.0041
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6905;0.9985;0.8164;0.0038
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6905;0.9985;0.8164;0.0044
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9100;0.9888;0.9478;0.0066
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9328;0.9822;0.9569;0.0099
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9603;0.9730;0.9666;0.0161
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9730;0.9623;0.9676;0.0222
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9809;0.9490;0.9647;0.0273
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9860;0.9365;0.9606;0.0338
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9893;0.9227;0.9549;0.0412
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9913;0.9153;0.9518;0.0519
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9915;0.9005;0.9438;0.0513
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9936;0.8918;0.9399;0.0570
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9947;0.8835;0.9358;0.0623
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9975;0.7967;0.8859;0.1267
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9982;0.7075;0.8281;0.1747
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9992;0.6245;0.7686;0.2426
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9995;0.5345;0.6965;0.3158
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;1.0000;0.4457;0.6166;0.3531
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;1.0000;0.3438;0.5116;0.3976
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;1.0000;0.2195;0.3600;0.4444
Mosque_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.1205;0.2151;0.4811
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8989;0.9985;0.9461;0.0038
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8989;0.9985;0.9461;0.0044
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8989;0.9985;0.9461;0.0032
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9736;0.9868;0.9801;0.0059
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9852;0.9685;0.9768;0.0090
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9886;0.9580;0.9731;0.0148
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9913;0.9405;0.9652;0.0212
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9925;0.9250;0.9576;0.0270
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9932;0.9153;0.9526;0.0331
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9942;0.9018;0.9457;0.0388
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9944;0.8912;0.9400;0.0479
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9952;0.8830;0.9358;0.0569
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9960;0.8665;0.9267;0.0589
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9965;0.8502;0.9176;0.0619
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9983;0.7278;0.8418;0.1391
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9988;0.6292;0.7721;0.1847
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9995;0.5238;0.6873;0.2405
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;1.0000;0.4477;0.6185;0.2924
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;1.0000;0.3565;0.5256;0.3576
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;1.0000;0.2630;0.4165;0.4172
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;1.0000;0.1795;0.3044;0.4565
Mosque_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;1.0000;0.0927;0.1698;0.4914
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6128;1.0000;0.7600;0.0041
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6057;0.9998;0.7544;0.0039
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6075;0.9998;0.7557;0.0041
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7255;0.9912;0.8378;0.0074
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8160;0.9888;0.8941;0.0102
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8922;0.9848;0.9362;0.0161
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9841;0.9762;0.9802;0.0214
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9943;0.9665;0.9802;0.0279
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9955;0.9490;0.9717;0.0358
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9960;0.9400;0.9672;0.0395
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9965;0.9265;0.9602;0.0492
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9984;0.9135;0.9540;0.0520
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9986;0.9010;0.9473;0.0581
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9989;0.8882;0.9403;0.0674
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9994;0.7995;0.8883;0.1252
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9993;0.7163;0.8344;0.1909
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9992;0.6462;0.7849;0.2338
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9991;0.5750;0.7299;0.2838
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9990;0.4878;0.6555;0.3475
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9993;0.3820;0.5527;0.3854
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9990;0.2577;0.4098;0.4262
Mosque_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9979;0.1185;0.2118;0.4705
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.6195;0.9985;0.7646;0.0040
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.6195;0.9985;0.7646;0.0039
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.6195;0.9985;0.7646;0.0038
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8131;0.9900;0.8929;0.0068
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8591;0.9865;0.9184;0.0096
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9182;0.9800;0.9481;0.0151
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9895;0.9643;0.9767;0.0219
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9942;0.9465;0.9698;0.0282
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9954;0.9273;0.9601;0.0337
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9962;0.9185;0.9558;0.0403
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9967;0.9065;0.9495;0.0529
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9972;0.8942;0.9429;0.0515
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9975;0.8825;0.9365;0.0566
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9980;0.8685;0.9288;0.0624
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9993;0.7585;0.8624;0.1341
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9992;0.6625;0.7968;0.1778
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9991;0.5670;0.7234;0.2376
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9990;0.4810;0.6493;0.2972
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9993;0.3790;0.5496;0.3786
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9991;0.2883;0.4474;0.4068
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9987;0.1973;0.3294;0.4714
Mosque_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;1.0000;0.0860;0.1584;0.4825
Mosque_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5188;0.9992;0.6830;0.0038
Mosque_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5188;0.9992;0.6830;0.0037
Mosque_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5188;0.9992;0.6830;0.0036
Mosque_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5521;0.9940;0.7099;0.0063
Mosque_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.6031;0.9890;0.7493;0.0096
