Parametros;Precisao;Revocacao;F1-Score;Tempo
Politics_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5493;0.9968;0.7083;0.0040
Politics_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5493;0.9968;0.7083;0.0041
Politics_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5493;0.9968;0.7083;0.0039
Politics_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6610;0.9928;0.7936;0.0066
Politics_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7605;0.9890;0.8598;0.0120
Politics_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9244;0.9752;0.9491;0.0169
Politics_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9439;0.9597;0.9518;0.0213
Politics_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9499;0.9533;0.9516;0.0274
Politics_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9565;0.9400;0.9482;0.0332
Politics_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9589;0.9333;0.9459;0.0397
Politics_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9635;0.9233;0.9429;0.0458
Politics_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9651;0.9135;0.9386;0.0528
Politics_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9678;0.9012;0.9333;0.0575
Politics_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9697;0.8948;0.9307;0.0720
Politics_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9764;0.7865;0.8712;0.1255
Politics_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9792;0.6833;0.8049;0.1911
Politics_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9798;0.5823;0.7304;0.2390
Politics_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9797;0.4830;0.6470;0.2957
Politics_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9806;0.3787;0.5464;0.3640
Politics_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9787;0.2873;0.4441;0.4106
Politics_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9789;0.1975;0.3287;0.4407
Politics_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9819;0.0948;0.1728;0.4751
Politics_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6299;0.9978;0.7723;0.0051
Politics_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6286;0.9978;0.7713;0.0054
Politics_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6290;0.9978;0.7716;0.0053
Politics_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7612;0.9905;0.8608;0.0072
Politics_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8501;0.9840;0.9122;0.0100
Politics_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9242;0.9688;0.9459;0.0160
Politics_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9514;0.9547;0.9531;0.0216
Politics_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9581;0.9440;0.9510;0.0291
Politics_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9651;0.9325;0.9485;0.0364
Politics_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9689;0.9195;0.9436;0.0418
Politics_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9706;0.9083;0.9384;0.0457
Politics_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9725;0.8935;0.9313;0.0517
Politics_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9735;0.8810;0.9249;0.0575
Politics_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9742;0.8700;0.9192;0.0680
Politics_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9791;0.7725;0.8636;0.1326
Politics_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9812;0.6645;0.7924;0.1900
Politics_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9808;0.5613;0.7139;0.2438
Politics_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9811;0.4808;0.6453;0.2906
Politics_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9814;0.3962;0.5646;0.3562
