Parametros;Precisao;Revocacao;F1-Score;Tempo
Weather_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5197;0.9980;0.6834;0.0031
Weather_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5197;0.9980;0.6834;0.0032
Weather_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5197;0.9980;0.6834;0.0033
Weather_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9649;0.9882;0.9764;0.0060
Weather_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9804;0.9770;0.9787;0.0145
Weather_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9863;0.9555;0.9707;0.0155
Weather_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9892;0.9393;0.9636;0.0215
Weather_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9896;0.9287;0.9582;0.0270
Weather_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9906;0.9187;0.9533;0.0334
Weather_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9913;0.9075;0.9475;0.0435
Weather_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9912;0.8968;0.9416;0.0484
Weather_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9921;0.8828;0.9343;0.0509
Weather_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9923;0.8742;0.9296;0.0610
Weather_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9925;0.8640;0.9238;0.0667
Weather_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9921;0.7555;0.8578;0.1246
Weather_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9920;0.6520;0.7868;0.1833
Weather_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9919;0.5533;0.7103;0.2512
Weather_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9924;0.4585;0.6272;0.3112
Weather_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9926;0.3665;0.5353;0.3612
Weather_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9920;0.2802;0.4370;0.4075
Weather_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9932;0.1835;0.3098;0.4412
Weather_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9969;0.0813;0.1503;0.4866
Weather_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5725;0.9985;0.7278;0.0044
Weather_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5725;0.9985;0.7278;0.0035
Weather_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5725;0.9985;0.7278;0.0032
Weather_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9624;0.9915;0.9767;0.0061
Weather_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9795;0.9800;0.9798;0.0093
Weather_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9861;0.9580;0.9718;0.0155
Weather_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9895;0.9447;0.9666;0.0209
Weather_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9907;0.9343;0.9617;0.0272
Weather_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9908;0.9163;0.9521;0.0329
Weather_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9910;0.9067;0.9470;0.0389
Weather_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9907;0.8820;0.9332;0.0520
Weather_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9909;0.8742;0.9289;0.0543
Weather_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9914;0.8638;0.9232;0.0577
Weather_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9913;0.8530;0.9170;0.0629
Weather_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9916;0.7378;0.8460;0.1265
Weather_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9911;0.6412;0.7787;0.1823
Weather_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9928;0.5477;0.7060;0.2537
Weather_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9923;0.4510;0.6201;0.2921
Weather_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9930;0.3563;0.5244;0.3624
Weather_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9936;0.2722;0.4274;0.4158
Weather_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9931;0.1790;0.3033;0.4582
Weather_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9923;0.0965;0.1759;0.4861
Weather_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5186;0.9988;0.6827;0.0039
Weather_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5184;0.9990;0.6826;0.0038
Weather_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5183;0.9985;0.6824;0.0042
Weather_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5292;0.9982;0.6917;0.0066
Weather_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.5614;0.9945;0.7177;0.0103
Weather_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.6130;0.9892;0.7570;0.0162
Weather_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.6574;0.9830;0.7879;0.0215
