Parametros;Precisao;Revocacao;F1-Score;Tempo
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5635;0.9990;0.7206;0.0036
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5635;0.9990;0.7206;0.0038
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5635;0.9990;0.7206;0.0045
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7487;0.9898;0.8525;0.0063
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8412;0.9830;0.9066;0.0101
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8937;0.9667;0.9288;0.0158
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9200;0.9517;0.9356;0.0221
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9329;0.9390;0.9360;0.0290
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9416;0.9267;0.9341;0.0362
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9471;0.9167;0.9317;0.0465
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9518;0.9085;0.9296;0.0487
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9532;0.9005;0.9261;0.0532
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9563;0.8915;0.9228;0.0580
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9593;0.8828;0.9194;0.0698
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9742;0.7750;0.8633;0.1262
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9807;0.6745;0.7993;0.1870
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9839;0.5803;0.7300;0.2579
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9851;0.4800;0.6455;0.2999
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9887;0.3920;0.5614;0.3598
Ceremony_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9892;0.2983;0.4583;0.4259
