Parametros;Precisao;Revocacao;F1-Score;Tempo
Coal_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6585;0.9922;0.7917;0.0077
Coal_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6669;0.9938;0.7982;0.0073
Coal_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6661;0.9935;0.7975;0.0077
Coal_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6754;0.9930;0.8040;0.0092
Coal_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9029;0.9902;0.9446;0.0113
Coal_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9622;0.9792;0.9706;0.0185
Coal_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9820;0.9685;0.9752;0.0232
Coal_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9917;0.9515;0.9712;0.0332
Coal_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9931;0.9393;0.9654;0.0378
Coal_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9938;0.9275;0.9595;0.0499
Coal_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9938;0.9195;0.9552;0.0466
Coal_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9940;0.9093;0.9497;0.0541
Coal_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9942;0.9030;0.9464;0.0590
Coal_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9953;0.8978;0.9440;0.0679
Coal_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9972;0.7995;0.8875;0.1225
Coal_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9996;0.6695;0.8019;0.1984
Coal_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9996;0.5837;0.7371;0.2382
Coal_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9995;0.4823;0.6506;0.3022
Coal_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;1.0000;0.3812;0.5520;0.3707
Coal_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;1.0000;0.2848;0.4433;0.4010
Coal_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;1.0000;0.1930;0.3236;0.4454
Coal_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0980;0.1785;0.4815
Coal_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6233;0.9935;0.7660;0.0064
Coal_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6233;0.9948;0.7664;0.0074
Coal_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6227;0.9945;0.7659;0.0154
