Parametros;Precisao;Revocacao;F1-Score;Tempo
Easter_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7413;0.9985;0.8509;0.0042
Easter_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7413;0.9985;0.8509;0.0039
Easter_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7413;0.9985;0.8509;0.0042
Easter_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9557;0.9935;0.9743;0.0072
Easter_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9727;0.9875;0.9800;0.0098
Easter_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9855;0.9695;0.9774;0.0162
Easter_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9894;0.9560;0.9724;0.0216
Easter_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9921;0.9390;0.9648;0.0277
Easter_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9930;0.9260;0.9583;0.0334
Easter_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9935;0.9123;0.9511;0.0465
Easter_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9950;0.9010;0.9457;0.0463
Easter_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9953;0.8912;0.9404;0.0525
Easter_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9955;0.8782;0.9332;0.0591
Easter_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9960;0.8678;0.9275;0.0729
Easter_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9976;0.7395;0.8494;0.1280
Easter_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9980;0.6232;0.7673;0.1941
Easter_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9986;0.5300;0.6925;0.2631
Easter_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9982;0.4243;0.5954;0.2965
Easter_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9977;0.3292;0.4951;0.3698
Easter_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9981;0.2575;0.4094;0.4183
Easter_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9971;0.1700;0.2905;0.4519
Easter_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9942;0.0858;0.1579;0.5074
Easter_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6649;0.9995;0.7986;0.0043
Easter_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6649;0.9995;0.7986;0.0041
Easter_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6649;0.9995;0.7986;0.0043
Easter_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9554;0.9952;0.9749;0.0068
Easter_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9811;0.9872;0.9842;0.0161
Easter_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9886;0.9742;0.9814;0.0161
Easter_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9912;0.9603;0.9755;0.0267
Easter_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9924;0.9487;0.9701;0.0303
Easter_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9933;0.9333;0.9624;0.0335
Easter_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9941;0.9220;0.9567;0.0493
Easter_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9943;0.9107;0.9507;0.0466
Easter_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9945;0.9000;0.9449;0.0518
Easter_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9952;0.8882;0.9387;0.0587
Easter_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9957;0.8762;0.9322;0.0689
Easter_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9983;0.7482;0.8554;0.1255
Easter_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9980;0.6395;0.7795;0.1906
Easter_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9986;0.5410;0.7018;0.2406
Easter_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9983;0.4450;0.6156;0.3029
Easter_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9979;0.3565;0.5253;0.3654
Easter_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9972;0.2672;0.4215;0.4223
Easter_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9972;0.1795;0.3042;0.4551
Easter_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9973;0.0910;0.1668;0.4857
Easter_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5379;0.9995;0.6994;0.0039
Easter_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5379;0.9995;0.6994;0.0036
Easter_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5379;0.9995;0.6994;0.0044
Easter_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9190;0.9962;0.9561;0.0064
Easter_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9644;0.9895;0.9768;0.0098
Easter_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9803;0.9828;0.9815;0.0155
Easter_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9849;0.9760;0.9804;0.0241
Easter_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9880;0.9692;0.9785;0.0278
Easter_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9912;0.9613;0.9760;0.0338
Easter_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9937;0.9495;0.9711;0.0403
Easter_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9950;0.9407;0.9671;0.0471
Easter_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9963;0.9300;0.9620;0.0520
Easter_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9968;0.9230;0.9585;0.0577
Easter_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9970;0.9107;0.9519;0.0678
Easter_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9975;0.7980;0.8867;0.1275
Easter_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9989;0.6893;0.8157;0.1907
Easter_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9987;0.5830;0.7362;0.2534
Easter_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9990;0.4870;0.6548;0.3004
Easter_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9988;0.3997;0.5710;0.3595
Easter_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9992;0.3115;0.4749;0.4149
Easter_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9988;0.2110;0.3484;0.4653
Easter_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9977;0.1077;0.1945;0.5045
Easter_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5679;0.9992;0.7242;0.0048
Easter_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5679;0.9992;0.7242;0.0037
Easter_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5679;0.9992;0.7242;0.0045
Easter_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9554;0.9958;0.9751;0.0078
Easter_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9756;0.9882;0.9819;0.0101
Easter_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9842;0.9808;0.9825;0.0160
Easter_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9903;0.9688;0.9794;0.0215
Easter_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9918;0.9627;0.9770;0.0360
Easter_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9925;0.9535;0.9726;0.0338
Easter_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9942;0.9413;0.9670;0.0441
