Parametros;Precisao;Revocacao;F1-Score;Tempo
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9434;0.9968;0.9694;0.0045
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9434;0.9968;0.9694;0.0043
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9434;0.9968;0.9694;0.0042
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9853;0.9905;0.9879;0.0078
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9922;0.9825;0.9873;0.0094
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9962;0.9718;0.9838;0.0157
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9974;0.9587;0.9777;0.0220
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9976;0.9495;0.9730;0.0379
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9976;0.9443;0.9702;0.0335
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9976;0.9350;0.9653;0.0451
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9976;0.9267;0.9609;0.0475
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9976;0.9185;0.9564;0.0513
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9978;0.9002;0.9465;0.0576
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9983;0.8855;0.9385;0.0676
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9984;0.7920;0.8833;0.1268
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9993;0.7020;0.8247;0.1873
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9992;0.5965;0.7470;0.2438
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9995;0.4893;0.6569;0.3010
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9993;0.3802;0.5509;0.3702
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9991;0.2900;0.4495;0.4097
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;1.0000;0.2070;0.3430;0.4712
Immigration_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.1040;0.1884;0.4849
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9607;0.9952;0.9777;0.0037
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9607;0.9952;0.9777;0.0037
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9607;0.9952;0.9777;0.0037
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9888;0.9912;0.9900;0.0073
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9932;0.9875;0.9903;0.0096
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9962;0.9718;0.9838;0.0156
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9966;0.9633;0.9797;0.0220
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9966;0.9515;0.9735;0.0310
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9974;0.9450;0.9705;0.0387
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9976;0.9385;0.9672;0.0449
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9979;0.9315;0.9635;0.0463
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9981;0.9167;0.9557;0.0517
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9983;0.9032;0.9484;0.0571
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9983;0.8930;0.9427;0.0686
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9987;0.7765;0.8737;0.1254
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9985;0.6845;0.8122;0.1830
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9983;0.5985;0.7484;0.2409
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9990;0.4853;0.6532;0.2996
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9994;0.3882;0.5592;0.3699
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9992;0.2960;0.4567;0.4123
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9987;0.1920;0.3221;0.4720
Immigration_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9976;0.1040;0.1884;0.4928
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8861;0.9955;0.9376;0.0046
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8861;0.9955;0.9376;0.0039
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8861;0.9955;0.9376;0.0042
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9783;0.9915;0.9849;0.0070
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9895;0.9850;0.9872;0.0104
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9944;0.9725;0.9833;0.0164
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9964;0.9587;0.9772;0.0265
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9966;0.9480;0.9717;0.0293
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9968;0.9375;0.9662;0.0341
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9971;0.9320;0.9634;0.0502
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9970;0.9215;0.9578;0.0469
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9978;0.9097;0.9517;0.0523
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9981;0.9010;0.9471;0.0577
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9980;0.8880;0.9398;0.0687
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9984;0.7963;0.8860;0.1237
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9986;0.7153;0.8335;0.1921
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9992;0.6172;0.7631;0.2445
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9990;0.5112;0.6764;0.2919
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9994;0.4052;0.5767;0.3592
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9992;0.3043;0.4665;0.4236
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9987;0.1995;0.3326;0.4510
Immigration_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.0948;0.1731;0.4968
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.8891;0.9960;0.9395;0.0046
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.8891;0.9960;0.9395;0.0044
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.8891;0.9960;0.9395;0.0044
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9707;0.9930;0.9817;0.0078
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9892;0.9825;0.9858;0.0106
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9944;0.9725;0.9833;0.0171
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9959;0.9637;0.9795;0.0217
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9971;0.9523;0.9742;0.0276
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9971;0.9435;0.9696;0.0337
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9976;0.9325;0.9639;0.0434
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9976;0.9190;0.9567;0.0479
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9978;0.9080;0.9508;0.0546
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9978;0.9005;0.9466;0.0583
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9978;0.8925;0.9422;0.0686
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9984;0.8033;0.8903;0.1244
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9986;0.7047;0.8263;0.1841
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9992;0.6288;0.7718;0.2639
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9995;0.5272;0.6903;0.2935
Immigration_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9994;0.4205;0.5919;0.3787
