Parametros;Precisao;Revocacao;F1-Score;Tempo
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5936;0.9978;0.7444;0.0036
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5936;0.9978;0.7444;0.0033
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5936;0.9978;0.7444;0.0043
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6919;0.9932;0.8156;0.0092
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7719;0.9838;0.8650;0.0098
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8396;0.9657;0.8983;0.0165
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8618;0.9620;0.9092;0.0221
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8921;0.9465;0.9185;0.0278
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8976;0.9377;0.9172;0.0339
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9080;0.9277;0.9178;0.0509
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9140;0.9055;0.9097;0.0466
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9198;0.8975;0.9085;0.0542
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9242;0.8810;0.9021;0.0578
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9282;0.8625;0.8941;0.0716
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9528;0.7318;0.8278;0.1306
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9592;0.6288;0.7596;0.1853
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9607;0.5323;0.6850;0.2481
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9642;0.4515;0.6150;0.2981
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9618;0.3528;0.5162;0.3610
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9645;0.2580;0.4071;0.4218
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9610;0.1600;0.2743;0.4568
Investigation_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9672;0.0810;0.1495;0.4963
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5556;0.9985;0.7139;0.0046
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5556;0.9985;0.7139;0.0064
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5556;0.9985;0.7139;0.0033
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6120;0.9902;0.7565;0.0063
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7254;0.9805;0.8338;0.0091
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8272;0.9625;0.8898;0.0155
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8566;0.9525;0.9020;0.0215
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8739;0.9325;0.9023;0.0280
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8882;0.9240;0.9058;0.0333
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9017;0.9123;0.9069;0.0400
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9082;0.9025;0.9053;0.0478
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9152;0.8930;0.9040;0.0511
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9233;0.8782;0.9002;0.0572
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9280;0.8668;0.8963;0.0703
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9531;0.7665;0.8497;0.1221
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9656;0.6660;0.7883;0.1914
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9683;0.5803;0.7257;0.2493
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9700;0.4693;0.6325;0.2972
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9707;0.3650;0.5305;0.3627
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9733;0.2920;0.4492;0.4156
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9797;0.1933;0.3228;0.4566
Investigation_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9792;0.0825;0.1522;0.5016
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5417;0.9985;0.7024;0.0043
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5417;0.9985;0.7024;0.0038
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5417;0.9985;0.7024;0.0038
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6132;0.9958;0.7590;0.0062
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7616;0.9872;0.8599;0.0107
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8271;0.9708;0.8932;0.0160
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8663;0.9587;0.9102;0.0221
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8833;0.9465;0.9138;0.0282
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8975;0.9387;0.9176;0.0349
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9066;0.9247;0.9156;0.0458
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9092;0.9157;0.9124;0.0474
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9170;0.9000;0.9084;0.0523
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9225;0.8840;0.9028;0.0576
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9279;0.8748;0.9005;0.0680
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9538;0.7742;0.8547;0.1223
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9625;0.6673;0.7881;0.1921
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9665;0.5693;0.7165;0.2509
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9699;0.4840;0.6458;0.2907
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9757;0.3907;0.5580;0.3663
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9789;0.2898;0.4471;0.4141
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9803;0.1995;0.3315;0.4495
Investigation_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9743;0.0948;0.1727;0.4947
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5765;0.9985;0.7310;0.0044
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5803;0.9988;0.7341;0.0045
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5801;0.9990;0.7340;0.0051
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6669;0.9968;0.7992;0.0080
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8568;0.9782;0.9135;0.0106
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8710;0.9657;0.9159;0.0168
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8914;0.9537;0.9215;0.0225
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9035;0.9435;0.9231;0.0281
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9154;0.9283;0.9218;0.0363
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9224;0.9183;0.9203;0.0445
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9261;0.9022;0.9140;0.0457
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9311;0.8920;0.9111;0.0546
Investigation_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9351;0.8755;0.9043;0.0670
