Parametros;Precisao;Revocacao;F1-Score;Tempo
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,0001_scale;0.7714;0.9976;0.8700;0.0037
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,0005_scale;0.7714;0.9976;0.8700;0.0034
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,001_scale;0.7714;0.9976;0.8700;0.0035
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,005_scale;0.8101;0.9958;0.8934;0.0060
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,01_scale;0.8492;0.9937;0.9158;0.0075
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,02_scale;0.9076;0.9811;0.9429;0.0122
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,03_scale;0.9266;0.9769;0.9511;0.0155
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,04_scale;0.9480;0.9628;0.9553;0.0199
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,05_scale;0.9635;0.9508;0.9571;0.0252
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,06_scale;0.9667;0.9331;0.9496;0.0294
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,07_scale;0.9718;0.9211;0.9458;0.0324
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,08_scale;0.9776;0.9031;0.9388;0.0382
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,09_scale;0.9825;0.8914;0.9347;0.0417
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,1_scale;0.9833;0.8845;0.9313;0.0457
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,2_scale;0.9921;0.7548;0.8573;0.0959
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,3_scale;0.9931;0.6498;0.7856;0.1281
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,4_scale;0.9940;0.5480;0.7065;0.1714
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,5_scale;0.9942;0.4637;0.6324;0.2144
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,6_scale;0.9961;0.3821;0.5523;0.2427
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,7_scale;0.9968;0.2824;0.4401;0.2994
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,8_scale;0.9984;0.1870;0.3150;0.3157
Sailing_VAE_1665_4997_8_OCSVM_RBF_0,9_scale;0.9971;0.1026;0.1861;0.3418
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,0001_scale;0.6440;0.9988;0.7831;0.0035
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,0005_scale;0.6440;0.9988;0.7831;0.0042
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,001_scale;0.6440;0.9988;0.7831;0.0039
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,005_scale;0.6909;0.9970;0.8162;0.0056
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,01_scale;0.7506;0.9946;0.8556;0.0074
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,02_scale;0.8494;0.9886;0.9137;0.0123
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,03_scale;0.9090;0.9715;0.9392;0.0162
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,04_scale;0.9310;0.9598;0.9452;0.0207
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,05_scale;0.9443;0.9508;0.9475;0.0242
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,06_scale;0.9570;0.9409;0.9488;0.0285
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,07_scale;0.9675;0.9196;0.9429;0.0322
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,08_scale;0.9738;0.9025;0.9368;0.0472
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,09_scale;0.9763;0.8917;0.9321;0.0418
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,1_scale;0.9771;0.8830;0.9276;0.0466
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,2_scale;0.9888;0.7407;0.8469;0.0901
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,3_scale;0.9916;0.6402;0.7780;0.1396
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,4_scale;0.9939;0.5387;0.6987;0.1726
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,5_scale;0.9946;0.4391;0.6092;0.2111
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,6_scale;0.9950;0.3586;0.5272;0.2496
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,7_scale;0.9944;0.2683;0.4226;0.2926
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,8_scale;0.9965;0.1726;0.2942;0.3180
Sailing_VAE_1665_4997_9_OCSVM_RBF_0,9_scale;0.9967;0.0912;0.1672;0.3494
Sailing_VAE_1665_4997_10_OCSVM_RBF_0,0001_scale;0.5172;0.9991;0.6816;0.0034
