Parametros;Precisao;Revocacao;F1-Score;Tempo
Society_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5174;0.9985;0.6816;0.0034
Society_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5174;0.9985;0.6816;0.0038
Society_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5174;0.9985;0.6816;0.0047
Society_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6676;0.9922;0.7982;0.0073
Society_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7216;0.9848;0.8329;0.0101
Society_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.7827;0.9708;0.8666;0.0164
Society_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8066;0.9633;0.8780;0.0222
Society_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8185;0.9525;0.8804;0.0281
Society_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8327;0.9395;0.8829;0.0336
Society_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.8502;0.9310;0.8888;0.0450
Society_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.8596;0.9200;0.8888;0.0458
Society_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.8685;0.9050;0.8864;0.0512
Society_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.8748;0.8942;0.8844;0.0576
Society_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.8787;0.8822;0.8805;0.0669
Society_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9124;0.7785;0.8401;0.1346
Society_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9349;0.6817;0.7885;0.2006
Society_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9477;0.5660;0.7087;0.2392
Society_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9535;0.4610;0.6215;0.2914
Society_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9532;0.3668;0.5297;0.3605
Society_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9647;0.2735;0.4262;0.4143
Society_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9674;0.1857;0.3117;0.4600
Society_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9658;0.0988;0.1792;0.4941
Society_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5148;0.9990;0.6795;0.0048
Society_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5149;0.9992;0.6796;0.0044
Society_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5149;0.9992;0.6796;0.0046
Society_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6585;0.9925;0.7917;0.0082
Society_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7318;0.9830;0.8390;0.0099
Society_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7795;0.9670;0.8632;0.0161
Society_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.7980;0.9530;0.8686;0.0218
Society_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8268;0.9393;0.8794;0.0283
Society_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8455;0.9277;0.8847;0.0338
Society_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8541;0.9177;0.8848;0.0449
Society_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.8668;0.9028;0.8844;0.0464
Society_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.8751;0.8932;0.8841;0.0518
Society_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.8810;0.8832;0.8821;0.0591
Society_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8847;0.8750;0.8798;0.0696
Society_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9176;0.7632;0.8334;0.1274
Society_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9353;0.6647;0.7771;0.1971
Society_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9478;0.5627;0.7062;0.2494
Society_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9535;0.4617;0.6222;0.3133
