Parametros;Precisao;Revocacao;F1-Score;Tempo
University_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5344;0.9990;0.6963;0.0036
University_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5344;0.9990;0.6963;0.0034
University_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5344;0.9990;0.6963;0.0039
University_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5888;0.9970;0.7404;0.0068
University_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7577;0.9928;0.8594;0.0099
University_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9393;0.9828;0.9605;0.0167
University_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9503;0.9750;0.9625;0.0218
University_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9647;0.9635;0.9641;0.0280
University_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9682;0.9507;0.9594;0.0336
University_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9740;0.9285;0.9507;0.0424
University_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9755;0.9170;0.9454;0.0519
University_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9768;0.9050;0.9395;0.0515
University_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9773;0.8930;0.9332;0.0573
University_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9781;0.8802;0.9266;0.0672
University_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9837;0.7702;0.8640;0.1330
University_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9859;0.6630;0.7928;0.1835
University_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9885;0.5607;0.7156;0.2423
University_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9896;0.4738;0.6407;0.3001
University_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9887;0.3725;0.5411;0.3751
University_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9894;0.2792;0.4356;0.4214
University_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9883;0.1908;0.3198;0.4675
University_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9824;0.0835;0.1539;0.4947
University_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6286;0.9980;0.7713;0.0041
University_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6286;0.9980;0.7713;0.0043
University_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6286;0.9980;0.7713;0.0038
University_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7567;0.9945;0.8595;0.0066
University_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8540;0.9888;0.9165;0.0101
University_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9517;0.9758;0.9636;0.0161
University_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9657;0.9637;0.9647;0.0216
University_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9705;0.9537;0.9620;0.0282
University_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9744;0.9417;0.9578;0.0353
University_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9761;0.9297;0.9524;0.0432
University_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9766;0.9187;0.9468;0.0467
University_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9772;0.9090;0.9418;0.0535
University_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9797;0.8925;0.9341;0.0583
University_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9803;0.8815;0.9283;0.0728
University_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9856;0.7675;0.8630;0.1254
