Parametros;Precisao;Revocacao;F1-Score;Tempo
Charity_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6202;0.9978;0.7649;0.0043
Charity_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6202;0.9978;0.7649;0.0037
Charity_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6202;0.9978;0.7649;0.0040
Charity_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6832;0.9948;0.8101;0.0071
Charity_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7110;0.9902;0.8277;0.0105
Charity_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8772;0.9730;0.9226;0.0191
Charity_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9137;0.9610;0.9368;0.0248
Charity_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9317;0.9513;0.9414;0.0298
Charity_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9463;0.9383;0.9423;0.0338
Charity_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9519;0.9303;0.9410;0.0434
Charity_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9600;0.9183;0.9387;0.0470
Charity_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9665;0.9077;0.9362;0.0516
Charity_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9685;0.9000;0.9330;0.0640
Charity_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9708;0.8888;0.9280;0.0676
Charity_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9828;0.7877;0.8745;0.1289
Charity_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9840;0.6920;0.8126;0.1828
Charity_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9873;0.6022;0.7481;0.2384
Charity_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9892;0.5038;0.6676;0.3059
Charity_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9911;0.4170;0.5870;0.3794
