Parametros;Precisao;Revocacao;F1-Score;Tempo
Flood_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5453;0.9990;0.7055;0.0039
Flood_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5460;0.9992;0.7061;0.0051
Flood_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5460;0.9992;0.7061;0.0042
Flood_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7299;0.9945;0.8419;0.0063
Flood_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7771;0.9920;0.8715;0.0096
Flood_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8440;0.9808;0.9073;0.0171
Flood_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8714;0.9740;0.9198;0.0225
Flood_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9097;0.9570;0.9327;0.0332
Flood_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9237;0.9440;0.9337;0.0360
Flood_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9315;0.9377;0.9346;0.0434
Flood_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9400;0.9243;0.9321;0.0490
Flood_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9450;0.9115;0.9280;0.0530
Flood_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9496;0.9005;0.9244;0.0586
Flood_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9516;0.8938;0.9217;0.0682
Flood_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9738;0.7725;0.8616;0.1423
Flood_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9819;0.6647;0.7928;0.1856
Flood_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9872;0.5783;0.7293;0.2398
Flood_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9889;0.4900;0.6553;0.3034
Flood_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9886;0.3910;0.5604;0.3713
Flood_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9899;0.2950;0.4545;0.4123
Flood_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9899;0.1963;0.3276;0.4598
Flood_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9856;0.1027;0.1861;0.4777
Flood_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6371;0.9972;0.7775;0.0041
Flood_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6371;0.9972;0.7775;0.0044
Flood_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6371;0.9972;0.7775;0.0041
Flood_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7364;0.9945;0.8462;0.0072
Flood_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7953;0.9885;0.8814;0.0107
Flood_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8548;0.9790;0.9127;0.0158
Flood_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8821;0.9692;0.9236;0.0219
Flood_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9008;0.9603;0.9296;0.0286
Flood_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9214;0.9437;0.9324;0.0339
Flood_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9309;0.9327;0.9318;0.0420
Flood_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9374;0.9245;0.9309;0.0544
Flood_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9458;0.9083;0.9267;0.0513
Flood_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9502;0.8960;0.9223;0.0587
Flood_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9544;0.8835;0.9176;0.0741
