Parametros;Precisao;Revocacao;F1-Score;Tempo
Golf_VAE_1550_4652_8_OCSVM_RBF_0,0001_scale;0.9582;0.9965;0.9769;0.0041
Golf_VAE_1550_4652_8_OCSVM_RBF_0,0005_scale;0.9582;0.9965;0.9769;0.0030
Golf_VAE_1550_4652_8_OCSVM_RBF_0,001_scale;0.9582;0.9965;0.9769;0.0033
Golf_VAE_1550_4652_8_OCSVM_RBF_0,005_scale;0.9655;0.9913;0.9782;0.0063
Golf_VAE_1550_4652_8_OCSVM_RBF_0,01_scale;0.9823;0.9868;0.9846;0.0065
Golf_VAE_1550_4652_8_OCSVM_RBF_0,02_scale;0.9935;0.9800;0.9867;0.0108
Golf_VAE_1550_4652_8_OCSVM_RBF_0,03_scale;0.9948;0.9778;0.9862;0.0154
Golf_VAE_1550_4652_8_OCSVM_RBF_0,04_scale;0.9957;0.9742;0.9848;0.0180
Golf_VAE_1550_4652_8_OCSVM_RBF_0,05_scale;0.9964;0.9729;0.9845;0.0225
Golf_VAE_1550_4652_8_OCSVM_RBF_0,06_scale;0.9973;0.9681;0.9825;0.0247
Golf_VAE_1550_4652_8_OCSVM_RBF_0,07_scale;0.9973;0.9610;0.9788;0.0295
Golf_VAE_1550_4652_8_OCSVM_RBF_0,08_scale;0.9980;0.9491;0.9729;0.0365
Golf_VAE_1550_4652_8_OCSVM_RBF_0,09_scale;0.9983;0.9378;0.9671;0.0377
Golf_VAE_1550_4652_8_OCSVM_RBF_0,1_scale;0.9986;0.9307;0.9635;0.0399
Golf_VAE_1550_4652_8_OCSVM_RBF_0,2_scale;0.9996;0.8182;0.8998;0.0813
Golf_VAE_1550_4652_8_OCSVM_RBF_0,3_scale;0.9995;0.7066;0.8280;0.1208
Golf_VAE_1550_4652_8_OCSVM_RBF_0,4_scale;0.9995;0.6083;0.7563;0.1451
Golf_VAE_1550_4652_8_OCSVM_RBF_0,5_scale;0.9994;0.5029;0.6691;0.1810
Golf_VAE_1550_4652_8_OCSVM_RBF_0,6_scale;1.0000;0.3994;0.5708;0.2206
Golf_VAE_1550_4652_8_OCSVM_RBF_0,7_scale;1.0000;0.3117;0.4753;0.2460
Golf_VAE_1550_4652_8_OCSVM_RBF_0,8_scale;1.0000;0.1931;0.3237;0.2942
Golf_VAE_1550_4652_8_OCSVM_RBF_0,9_scale;1.0000;0.1012;0.1838;0.2911
Golf_VAE_1550_4652_9_OCSVM_RBF_0,0001_scale;0.8046;0.9971;0.8906;0.0037
Golf_VAE_1550_4652_9_OCSVM_RBF_0,0005_scale;0.8046;0.9971;0.8906;0.0039
Golf_VAE_1550_4652_9_OCSVM_RBF_0,001_scale;0.8046;0.9971;0.8906;0.0032
Golf_VAE_1550_4652_9_OCSVM_RBF_0,005_scale;0.8904;0.9900;0.9376;0.0052
