Parametros;Precisao;Revocacao;F1-Score;Tempo
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5261;0.9958;0.6884;0.0043
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5261;0.9958;0.6884;0.0040
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5261;0.9958;0.6884;0.0033
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5373;0.9912;0.6968;0.0076
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.6721;0.9830;0.7984;0.0100
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8314;0.9740;0.8971;0.0153
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9024;0.9547;0.9278;0.0212
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9248;0.9403;0.9324;0.0280
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9341;0.9325;0.9333;0.0334
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9428;0.9190;0.9308;0.0503
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9470;0.9060;0.9260;0.0458
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9508;0.8938;0.9214;0.0517
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9534;0.8790;0.9147;0.0581
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9552;0.8682;0.9096;0.0666
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9743;0.7592;0.8534;0.1241
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9815;0.6498;0.7819;0.1895
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9849;0.5530;0.7083;0.2369
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9885;0.4517;0.6201;0.2965
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9884;0.3613;0.5291;0.3709
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9891;0.2712;0.4257;0.4083
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9868;0.1870;0.3144;0.4430
Holiday_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9868;0.0938;0.1712;0.4933
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6814;0.9920;0.8079;0.0038
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6814;0.9920;0.8079;0.0038
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6814;0.9920;0.8079;0.0041
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7645;0.9812;0.8594;0.0072
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8524;0.9742;0.9092;0.0095
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8918;0.9663;0.9275;0.0170
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9185;0.9463;0.9322;0.0215
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9298;0.9373;0.9335;0.0275
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9375;0.9233;0.9303;0.0346
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9462;0.9052;0.9253;0.0409
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9498;0.8945;0.9213;0.0462
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9539;0.8848;0.9180;0.0522
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9547;0.8752;0.9133;0.0579
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9567;0.8662;0.9092;0.0668
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9736;0.7390;0.8403;0.1259
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9826;0.6338;0.7705;0.1912
Holiday_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9846;0.5445;0.7012;0.2453
