Parametros;Precisao;Revocacao;F1-Score;Tempo
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5206;0.9992;0.6845;0.0041
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5206;0.9992;0.6845;0.0045
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5206;0.9992;0.6845;0.0038
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9237;0.9898;0.9556;0.0064
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9684;0.9792;0.9738;0.0096
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9825;0.9557;0.9690;0.0168
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9859;0.9415;0.9632;0.0220
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9888;0.9233;0.9549;0.0275
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9907;0.9090;0.9481;0.0423
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9914;0.8980;0.9424;0.0434
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9927;0.8862;0.9365;0.0462
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9935;0.8722;0.9289;0.0518
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9939;0.8615;0.9230;0.0572
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9942;0.8540;0.9188;0.0655
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9960;0.7460;0.8531;0.1253
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9970;0.6565;0.7917;0.1810
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9982;0.5650;0.7216;0.2456
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9985;0.4848;0.6526;0.3082
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9987;0.3942;0.5653;0.3648
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9983;0.2943;0.4545;0.4118
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9988;0.2015;0.3353;0.4650
Hurricane_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9976;0.1035;0.1875;0.4857
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5514;0.9992;0.7106;0.0038
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5514;0.9992;0.7106;0.0039
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5514;0.9992;0.7106;0.0041
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9565;0.9845;0.9703;0.0069
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9717;0.9690;0.9703;0.0098
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9821;0.9455;0.9634;0.0158
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9846;0.9263;0.9545;0.0224
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9867;0.9107;0.9472;0.0281
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9892;0.8920;0.9381;0.0341
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9915;0.8715;0.9276;0.0518
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9931;0.8615;0.9226;0.0530
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9939;0.8498;0.9162;0.0529
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9941;0.8423;0.9119;0.0579
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9943;0.8307;0.9052;0.0702
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9952;0.7302;0.8424;0.1268
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9957;0.6315;0.7728;0.1850
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9977;0.5308;0.6929;0.2526
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9977;0.4288;0.5998;0.3065
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9971;0.3395;0.5065;0.3695
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9971;0.2582;0.4102;0.4306
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9972;0.1782;0.3024;0.4640
Hurricane_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9970;0.0840;0.1549;0.5055
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5604;0.9992;0.7181;0.0032
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5604;0.9992;0.7181;0.0034
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5604;0.9992;0.7181;0.0033
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9399;0.9852;0.9620;0.0063
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9520;0.9810;0.9663;0.0091
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9787;0.9515;0.9649;0.0152
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9826;0.9310;0.9561;0.0216
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9849;0.9107;0.9464;0.0283
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9887;0.8968;0.9405;0.0336
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9897;0.8862;0.9351;0.0399
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9915;0.8780;0.9313;0.0457
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9914;0.8645;0.9236;0.0516
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9922;0.8562;0.9192;0.0587
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9924;0.8465;0.9137;0.0679
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9947;0.7438;0.8511;0.1320
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9957;0.6295;0.7713;0.1912
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9968;0.5380;0.6988;0.2464
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9967;0.4522;0.6222;0.3020
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9972;0.3603;0.5293;0.3640
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9963;0.2662;0.4202;0.4066
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9986;0.1775;0.3014;0.4528
Hurricane_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;1.0000;0.0973;0.1773;0.4870
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5339;0.9992;0.6960;0.0046
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5339;0.9992;0.6960;0.0054
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5339;0.9992;0.6960;0.0040
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8961;0.9915;0.9414;0.0083
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9485;0.9802;0.9641;0.0098
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9750;0.9565;0.9657;0.0166
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9808;0.9430;0.9615;0.0262
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9834;0.9307;0.9563;0.0300
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9863;0.9205;0.9523;0.0368
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9880;0.9040;0.9441;0.0514
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9892;0.8920;0.9381;0.0485
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9904;0.8785;0.9311;0.0538
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9914;0.8670;0.9250;0.0610
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9913;0.8560;0.9187;0.0675
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9944;0.7480;0.8538;0.1385
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9950;0.6485;0.7852;0.1887
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9955;0.5555;0.7131;0.2572
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9973;0.4600;0.6296;0.3052
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9973;0.3762;0.5464;0.3857
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9973;0.2818;0.4394;0.4276
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9987;0.1890;0.3178;0.4890
Hurricane_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.0970;0.1768;0.5048
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5247;0.9990;0.6880;0.0044
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5247;0.9980;0.6878;0.0047
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5249;0.9985;0.6881;0.0045
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9168;0.9890;0.9515;0.0065
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9527;0.9825;0.9674;0.0098
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9780;0.9540;0.9658;0.0172
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9827;0.9383;0.9600;0.0267
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9864;0.9230;0.9536;0.0302
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9891;0.9058;0.9456;0.0332
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9900;0.8928;0.9389;0.0435
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9913;0.8805;0.9326;0.0463
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9914;0.8685;0.9259;0.0526
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9922;0.8595;0.9211;0.0589
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9924;0.8518;0.9167;0.0750
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9956;0.7390;0.8483;0.1248
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9973;0.6382;0.7784;0.1874
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9978;0.5545;0.7128;0.2356
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9978;0.4477;0.6181;0.2922
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9979;0.3528;0.5212;0.3715
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9981;0.2645;0.4182;0.4125
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9973;0.1822;0.3082;0.4554
Hurricane_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9978;0.1115;0.2006;0.4854
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5393;0.9972;0.7000;0.0054
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5403;0.9978;0.7010;0.0065
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5411;0.9978;0.7017;0.0063
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.8568;0.9930;0.9199;0.0093
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.9501;0.9765;0.9631;0.0118
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.9740;0.9567;0.9653;0.0196
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.9793;0.9467;0.9628;0.0246
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.9826;0.9345;0.9580;0.0482
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.9843;0.9257;0.9541;0.0450
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.9860;0.9135;0.9484;0.0711
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.9874;0.9020;0.9428;0.0776
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,08_scale;0.9894;0.8902;0.9372;0.0791
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,09_scale;0.9904;0.8800;0.9320;0.0698
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,1_scale;0.9909;0.8690;0.9259;0.0797
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,2_scale;0.9944;0.7515;0.8560;0.1626
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,3_scale;0.9958;0.6567;0.7915;0.2031
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,4_scale;0.9964;0.5545;0.7125;0.2929
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,5_scale;0.9978;0.4632;0.6327;0.3361
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,6_scale;0.9973;0.3648;0.5341;0.4008
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,7_scale;0.9982;0.2752;0.4315;0.5202
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,8_scale;1.0000;0.1852;0.3126;0.4692
Hurricane_VAE_2000_6000_3_OCSVM_RBF_0,9_scale;1.0000;0.0917;0.1681;0.5397
Hurricane_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.8336;0.9880;0.9042;0.0082
