Parametros;Precisao;Revocacao;F1-Score;Tempo
Loans_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8677;0.9982;0.9284;0.0043
Loans_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8677;0.9982;0.9284;0.0041
Loans_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8699;0.9982;0.9297;0.0047
Loans_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9435;0.9932;0.9677;0.0075
Loans_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9600;0.9850;0.9724;0.0101
Loans_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9779;0.9715;0.9747;0.0169
Loans_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9816;0.9610;0.9712;0.0243
Loans_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9840;0.9553;0.9694;0.0279
Loans_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9849;0.9463;0.9652;0.0335
Loans_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9871;0.9367;0.9613;0.0499
Loans_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9875;0.9285;0.9571;0.0514
Loans_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9887;0.9203;0.9533;0.0539
Loans_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9896;0.9080;0.9471;0.0579
Loans_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9898;0.8978;0.9415;0.0683
Loans_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9923;0.8050;0.8889;0.1274
Loans_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9940;0.7075;0.8266;0.1833
Loans_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9948;0.6172;0.7618;0.2445
Loans_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9957;0.5155;0.6793;0.2981
Loans_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9965;0.4243;0.5951;0.3600
Loans_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9970;0.3357;0.5023;0.4123
Loans_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9968;0.2303;0.3741;0.4492
Loans_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9941;0.1270;0.2252;0.4772
Loans_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8813;0.9985;0.9362;0.0046
Loans_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8794;0.9990;0.9354;0.0051
Loans_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8796;0.9990;0.9355;0.0041
Loans_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9562;0.9922;0.9739;0.0069
Loans_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9683;0.9860;0.9771;0.0107
Loans_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9797;0.9778;0.9787;0.0167
Loans_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9849;0.9637;0.9742;0.0292
Loans_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9861;0.9577;0.9717;0.0277
Loans_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9880;0.9480;0.9676;0.0339
Loans_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9892;0.9377;0.9628;0.0445
Loans_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9901;0.9245;0.9562;0.0465
Loans_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9905;0.9165;0.9521;0.0532
Loans_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9910;0.9085;0.9480;0.0572
Loans_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9915;0.9015;0.9443;0.0751
Loans_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9939;0.8125;0.8941;0.1219
Loans_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9946;0.7332;0.8442;0.1888
Loans_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9937;0.6348;0.7747;0.2456
Loans_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9953;0.5288;0.6906;0.3174
Loans_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9948;0.4298;0.6002;0.3609
Loans_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9961;0.3207;0.4852;0.4169
Loans_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9953;0.2110;0.3482;0.4582
Loans_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9955;0.1105;0.1989;0.4876
Loans_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5534;0.9995;0.7123;0.0043
