Parametros;Precisao;Revocacao;F1-Score;Tempo
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6728;0.9990;0.8041;0.0042
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6728;0.9990;0.8041;0.0039
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6728;0.9990;0.8041;0.0036
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7695;0.9932;0.8672;0.0069
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9294;0.9800;0.9540;0.0099
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9657;0.9580;0.9618;0.0163
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9783;0.9455;0.9616;0.0217
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9821;0.9310;0.9559;0.0272
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9837;0.9213;0.9515;0.0347
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9856;0.9090;0.9458;0.0429
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9881;0.8952;0.9394;0.0459
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9894;0.8878;0.9358;0.0514
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9907;0.8772;0.9305;0.0637
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9909;0.8688;0.9258;0.0656
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9929;0.7640;0.8635;0.1329
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9947;0.6542;0.7893;0.1806
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9959;0.5423;0.7022;0.2502
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9962;0.4597;0.6291;0.2892
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9960;0.3690;0.5385;0.3597
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9947;0.2833;0.4409;0.4151
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9962;0.1955;0.3269;0.4572
Petrol_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9929;0.1047;0.1895;0.4771
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7232;0.9988;0.8389;0.0050
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7233;0.9988;0.8390;0.0048
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7256;0.9988;0.8405;0.0048
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8804;0.9805;0.9277;0.0072
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9356;0.9765;0.9556;0.0104
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9714;0.9500;0.9606;0.0159
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9788;0.9253;0.9513;0.0216
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9827;0.9115;0.9458;0.0278
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9847;0.9028;0.9420;0.0342
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9875;0.8910;0.9368;0.0393
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9885;0.8785;0.9302;0.0499
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9889;0.8672;0.9241;0.0517
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9894;0.8630;0.9219;0.0588
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9893;0.8560;0.9178;0.0680
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9936;0.7400;0.8483;0.1260
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9945;0.6350;0.7751;0.1906
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9949;0.5357;0.6965;0.2467
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9956;0.4495;0.6194;0.3031
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9944;0.3538;0.5219;0.3667
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9935;0.2662;0.4200;0.4133
Petrol_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9971;0.1737;0.2959;0.4824
