Parametros;Precisao;Revocacao;F1-Score;Tempo
Retail_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5996;0.9988;0.7493;0.0048
Retail_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5915;0.9988;0.7430;0.0054
Retail_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5915;0.9988;0.7430;0.0046
Retail_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7325;0.9942;0.8436;0.0074
Retail_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8541;0.9805;0.9129;0.0099
Retail_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8806;0.9702;0.9233;0.0162
Retail_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8987;0.9577;0.9273;0.0240
Retail_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9105;0.9405;0.9252;0.0282
Retail_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9171;0.9325;0.9248;0.0351
Retail_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9219;0.9183;0.9201;0.0445
Retail_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9286;0.9002;0.9142;0.0469
Retail_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9318;0.8842;0.9074;0.0524
Retail_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9358;0.8745;0.9041;0.0579
Retail_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9392;0.8652;0.9007;0.0765
Retail_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9539;0.7560;0.8435;0.1303
Retail_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9609;0.6690;0.7888;0.1854
Retail_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9659;0.5727;0.7191;0.2439
Retail_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9663;0.4652;0.6281;0.2933
Retail_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9716;0.3760;0.5422;0.3659
Retail_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9702;0.2767;0.4307;0.4264
Retail_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9735;0.1930;0.3221;0.4596
Retail_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9766;0.0940;0.1715;0.5107
Retail_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7091;0.9980;0.8291;0.0043
Retail_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7122;0.9980;0.8312;0.0045
Retail_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7122;0.9980;0.8312;0.0048
Retail_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7664;0.9932;0.8652;0.0085
Retail_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8447;0.9872;0.9104;0.0096
Retail_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8817;0.9730;0.9251;0.0158
Retail_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9028;0.9547;0.9281;0.0224
Retail_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9166;0.9425;0.9294;0.0280
Retail_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9303;0.9277;0.9290;0.0355
Retail_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9372;0.9147;0.9259;0.0441
Retail_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9407;0.9042;0.9221;0.0470
Retail_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9449;0.8878;0.9154;0.0524
Retail_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9480;0.8790;0.9122;0.0581
Retail_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9486;0.8670;0.9060;0.0755
Retail_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9583;0.7690;0.8533;0.1245
Retail_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9652;0.6590;0.7832;0.1883
Retail_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9688;0.5595;0.7094;0.2395
Retail_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9698;0.4738;0.6365;0.2988
Retail_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9684;0.3830;0.5489;0.3645
Retail_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9669;0.2777;0.4315;0.4169
Retail_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9667;0.1960;0.3259;0.4611
Retail_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9636;0.0927;0.1692;0.4863
Retail_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5456;0.9280;0.6872;0.0093
Retail_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5489;0.9550;0.6971;0.0102
Retail_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5524;0.9765;0.7056;0.0111
Retail_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5539;0.9850;0.7091;0.0115
Retail_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.5708;0.9862;0.7231;0.0134
Retail_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.6424;0.9750;0.7745;0.0184
Retail_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.6879;0.9675;0.8041;0.0244
Retail_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.7166;0.9520;0.8177;0.0301
Retail_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.7327;0.9430;0.8247;0.0359
Retail_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.7589;0.9310;0.8362;0.0572
Retail_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.7721;0.9255;0.8418;0.0492
