Parametros;Precisao;Revocacao;F1-Score;Tempo
Unions_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5414;1.0000;0.7025;0.0039
Unions_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5414;1.0000;0.7025;0.0042
Unions_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5414;1.0000;0.7025;0.0050
Unions_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7543;0.9970;0.8588;0.0078
Unions_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8267;0.9932;0.9023;0.0174
Unions_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9296;0.9838;0.9559;0.0161
Unions_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9531;0.9748;0.9638;0.0214
Unions_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9651;0.9623;0.9637;0.0276
Unions_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9681;0.9560;0.9620;0.0337
Unions_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9748;0.9477;0.9611;0.0430
Unions_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9773;0.9377;0.9571;0.0467
Unions_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9809;0.9250;0.9521;0.0517
Unions_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9823;0.9163;0.9481;0.0572
Unions_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9849;0.8980;0.9395;0.0657
Unions_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9924;0.7850;0.8766;0.1262
Unions_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9955;0.6665;0.7984;0.1910
Unions_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9960;0.5560;0.7136;0.2378
Unions_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9962;0.4585;0.6280;0.3048
Unions_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9973;0.3715;0.5413;0.3687
Unions_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9975;0.2960;0.4565;0.4160
Unions_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9961;0.1910;0.3205;0.4480
Unions_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9973;0.0910;0.1668;0.4920
Unions_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6017;0.9992;0.7511;0.0044
Unions_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6017;0.9992;0.7511;0.0045
Unions_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6017;0.9992;0.7511;0.0043
Unions_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8377;0.9960;0.9100;0.0070
Unions_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8935;0.9925;0.9404;0.0102
Unions_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9436;0.9788;0.9609;0.0162
Unions_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9598;0.9680;0.9639;0.0219
Unions_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9676;0.9563;0.9619;0.0282
Unions_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9737;0.9443;0.9588;0.0342
Unions_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9764;0.9295;0.9524;0.0433
Unions_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9802;0.9165;0.9473;0.0460
Unions_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9820;0.9022;0.9405;0.0530
Unions_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9827;0.8922;0.9353;0.0575
Unions_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9841;0.8808;0.9296;0.0748
Unions_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9913;0.7682;0.8656;0.1244
Unions_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9943;0.6510;0.7868;0.1969
Unions_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9955;0.5497;0.7083;0.2355
Unions_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9961;0.4477;0.6178;0.2959
Unions_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9964;0.3503;0.5183;0.3568
Unions_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9961;0.2580;0.4098;0.4156
Unions_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9986;0.1770;0.3007;0.4450
Unions_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0922;0.1689;0.4898
Unions_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6770;0.9992;0.8071;0.0048
Unions_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6747;0.9992;0.8055;0.0040
Unions_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6764;0.9992;0.8067;0.0043
Unions_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8664;0.9952;0.9264;0.0065
Unions_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9300;0.9860;0.9572;0.0092
Unions_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9537;0.9742;0.9639;0.0158
Unions_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9644;0.9625;0.9635;0.0231
Unions_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9739;0.9437;0.9586;0.0288
Unions_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9773;0.9347;0.9555;0.0347
Unions_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9790;0.9220;0.9497;0.0455
Unions_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9818;0.9045;0.9416;0.0471
Unions_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9831;0.8898;0.9341;0.0530
Unions_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9843;0.8790;0.9287;0.0589
Unions_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9847;0.8690;0.9232;0.0671
Unions_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9931;0.7502;0.8547;0.1311
Unions_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9937;0.6355;0.7752;0.1831
Unions_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9941;0.5435;0.7028;0.2365
Unions_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9962;0.4542;0.6240;0.2973
Unions_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9964;0.3415;0.5087;0.3792
Unions_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9980;0.2550;0.4062;0.4070
Unions_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9984;0.1603;0.2762;0.4535
Unions_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9970;0.0840;0.1549;0.4802
Unions_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5293;1.0000;0.6922;0.0049
Unions_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5293;1.0000;0.6922;0.0037
