Parametros;Precisao;Revocacao;F1-Score;Tempo
War_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6027;0.9992;0.7519;0.0040
War_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6027;0.9992;0.7519;0.0038
War_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6027;0.9992;0.7519;0.0038
War_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6652;0.9885;0.7953;0.0067
War_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7040;0.9782;0.8188;0.0100
War_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7507;0.9657;0.8447;0.0152
War_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.7654;0.9520;0.8486;0.0242
War_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.7780;0.9365;0.8499;0.0276
War_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8027;0.9217;0.8581;0.0339
War_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8190;0.9115;0.8628;0.0474
War_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.8234;0.8950;0.8577;0.0808
War_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.8333;0.8812;0.8566;0.0906
War_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.8407;0.8692;0.8547;0.1210
War_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8498;0.8600;0.8549;0.1086
War_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8982;0.7342;0.8080;0.1264
War_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9211;0.6480;0.7608;0.1828
War_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9301;0.5693;0.7063;0.2450
War_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9443;0.4743;0.6314;0.2988
War_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9534;0.3835;0.5470;0.3712
War_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9569;0.3000;0.4568;0.4326
War_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9609;0.2087;0.3430;0.4641
War_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9538;0.1032;0.1863;0.4842
War_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6111;0.9975;0.7579;0.0049
War_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6132;0.9972;0.7594;0.0054
War_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6141;0.9970;0.7601;0.0047
War_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6441;0.9918;0.7810;0.0072
War_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.6482;0.9872;0.7826;0.0107
War_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.7094;0.9718;0.8201;0.0170
War_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.7367;0.9630;0.8348;0.0245
War_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.7665;0.9480;0.8477;0.0285
War_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.7724;0.9420;0.8488;0.0342
War_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.8011;0.9303;0.8608;0.0553
War_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.8193;0.9150;0.8645;0.0480
War_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.8373;0.8990;0.8670;0.0529
War_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.8437;0.8822;0.8625;0.0646
War_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.8529;0.8680;0.8604;0.0695
War_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9014;0.7608;0.8251;0.1305
War_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9291;0.6653;0.7753;0.1835
War_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9466;0.5720;0.7131;0.2465
War_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9568;0.4868;0.6452;0.2922
War_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9588;0.4010;0.5655;0.3749
War_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9629;0.2985;0.4557;0.4251
War_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9665;0.1950;0.3245;0.4536
