Parametros;Precisao;Revocacao;F1-Score;Tempo
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8595;0.9968;0.9230;0.0043
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8595;0.9968;0.9230;0.0045
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8595;0.9968;0.9230;0.0041
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9641;0.9812;0.9726;0.0067
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9790;0.9653;0.9721;0.0103
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9851;0.9407;0.9624;0.0163
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9877;0.9200;0.9526;0.0224
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9885;0.9032;0.9440;0.0282
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9897;0.8862;0.9351;0.0339
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9905;0.8585;0.9198;0.0458
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9906;0.8425;0.9106;0.0466
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9911;0.8327;0.9050;0.0533
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9915;0.8153;0.8948;0.0588
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9916;0.7983;0.8845;0.0661
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9939;0.6530;0.7882;0.1338
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9936;0.5400;0.6997;0.1873
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9934;0.4542;0.6234;0.2468
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9933;0.3733;0.5426;0.2925
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9959;0.3025;0.4640;0.3767
Wildfire_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9967;0.2278;0.3708;0.4225
