Parametros;Precisao;Revocacao;F1-Score;Tempo
Bar_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6616;0.9995;0.7962;0.0041
Bar_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6616;0.9995;0.7962;0.0042
Bar_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6616;0.9995;0.7962;0.0042
Bar_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8285;0.9938;0.9036;0.0064
Bar_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8872;0.9892;0.9355;0.0100
Bar_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9275;0.9788;0.9524;0.0176
Bar_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9419;0.9695;0.9555;0.0249
Bar_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9613;0.9565;0.9589;0.0315
Bar_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9684;0.9437;0.9559;0.0377
Bar_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9715;0.9377;0.9543;0.0482
Bar_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9729;0.9260;0.9489;0.0524
Bar_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9784;0.9175;0.9470;0.0581
Bar_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9813;0.9040;0.9411;0.0647
Bar_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9819;0.8945;0.9362;0.0737
Bar_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9887;0.7863;0.8759;0.1501
Bar_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9915;0.6705;0.8000;0.1849
Bar_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9943;0.5650;0.7205;0.2397
Bar_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9940;0.4592;0.6282;0.2910
Bar_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9941;0.3787;0.5485;0.3875
Bar_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9933;0.2955;0.4555;0.4178
Bar_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9950;0.1993;0.3320;0.4582
