Parametros;Precisao;Revocacao;F1-Score;Tempo
Currency_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8203;0.9928;0.8983;0.0044
Currency_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8203;0.9928;0.8983;0.0036
Currency_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8203;0.9928;0.8983;0.0033
Currency_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8833;0.9880;0.9327;0.0062
Currency_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9424;0.9780;0.9599;0.0094
Currency_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9753;0.9570;0.9661;0.0159
Currency_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9848;0.9405;0.9621;0.0217
Currency_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9864;0.9240;0.9542;0.0284
Currency_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9873;0.9115;0.9479;0.0404
Currency_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9882;0.9015;0.9429;0.0427
Currency_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9892;0.8918;0.9379;0.0465
Currency_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9913;0.8790;0.9318;0.0513
Currency_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9923;0.8698;0.9270;0.0656
Currency_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9942;0.8555;0.9196;0.0668
Currency_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9957;0.7565;0.8598;0.1235
Currency_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9965;0.6378;0.7777;0.1812
Currency_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9968;0.5433;0.7032;0.2388
Currency_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9977;0.4333;0.6041;0.3003
Currency_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9970;0.3287;0.4945;0.3622
Currency_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9957;0.2333;0.3780;0.4162
Currency_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9966;0.1477;0.2573;0.4589
Currency_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.0587;0.1110;0.4809
Currency_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7021;0.9940;0.8229;0.0075
Currency_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7062;0.9935;0.8256;0.0055
Currency_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7094;0.9935;0.8277;0.0052
Currency_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7214;0.9902;0.8347;0.0069
Currency_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8260;0.9828;0.8976;0.0103
Currency_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9047;0.9730;0.9376;0.0157
Currency_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9460;0.9590;0.9525;0.0219
Currency_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9577;0.9505;0.9541;0.0280
Currency_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9668;0.9387;0.9526;0.0336
Currency_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9741;0.9230;0.9479;0.0531
Currency_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9780;0.9100;0.9428;0.0456
Currency_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9797;0.9045;0.9406;0.0717
Currency_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9830;0.8948;0.9368;0.0571
Currency_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9842;0.8868;0.9329;0.0667
Currency_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9934;0.7875;0.8785;0.1246
Currency_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9953;0.6937;0.8176;0.1821
Currency_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9954;0.6015;0.7499;0.2384
Currency_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9956;0.5125;0.6767;0.3032
Currency_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9970;0.4168;0.5878;0.3464
Currency_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9960;0.3090;0.4717;0.4140
Currency_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9963;0.2020;0.3359;0.4537
Currency_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9955;0.1105;0.1989;0.4935
Currency_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6653;0.9948;0.7973;0.0043
Currency_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6653;0.9948;0.7973;0.0037
Currency_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6653;0.9948;0.7973;0.0042
Currency_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7222;0.9825;0.8325;0.0069
Currency_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9390;0.9700;0.9543;0.0101
Currency_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9749;0.9505;0.9625;0.0166
Currency_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9790;0.9447;0.9616;0.0214
Currency_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9829;0.9347;0.9582;0.0274
Currency_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9860;0.9187;0.9512;0.0338
Currency_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9880;0.9028;0.9434;0.0400
Currency_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9891;0.8878;0.9357;0.0470
Currency_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9912;0.8712;0.9274;0.0525
Currency_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9922;0.8555;0.9188;0.0580
Currency_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9935;0.8423;0.9116;0.0672
Currency_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9956;0.7402;0.8492;0.1254
Currency_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9958;0.6465;0.7840;0.1824
Currency_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9959;0.5477;0.7068;0.2658
Currency_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9971;0.4283;0.5992;0.2891
Currency_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9970;0.3370;0.5037;0.3690
Currency_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9959;0.2405;0.3874;0.4285
Currency_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9969;0.1615;0.2780;0.4577
Currency_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;1.0000;0.0833;0.1537;0.5005
Currency_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5940;0.9950;0.7439;0.0036
Currency_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5940;0.9950;0.7439;0.0038
Currency_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5940;0.9950;0.7439;0.0040
Currency_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6589;0.9888;0.7908;0.0069
Currency_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9169;0.9790;0.9469;0.0112
Currency_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9730;0.9647;0.9689;0.0159
Currency_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9780;0.9553;0.9665;0.0222
Currency_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9835;0.9410;0.9618;0.0283
Currency_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9860;0.9320;0.9582;0.0335
Currency_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9881;0.9157;0.9506;0.0431
Currency_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9896;0.9067;0.9464;0.0462
Currency_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9901;0.8958;0.9405;0.0530
Currency_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9905;0.8860;0.9353;0.0573
Currency_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9906;0.8708;0.9268;0.0668
Currency_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9946;0.7808;0.8748;0.1256
Currency_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9956;0.6807;0.8086;0.1820
Currency_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9961;0.5770;0.7307;0.2476
