Parametros;Precisao;Revocacao;F1-Score;Tempo
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8833;0.9958;0.9362;0.0041
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8833;0.9958;0.9362;0.0038
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8833;0.9958;0.9362;0.0040
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9532;0.9875;0.9700;0.0068
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9753;0.9758;0.9755;0.0095
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9796;0.9597;0.9696;0.0154
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9868;0.9380;0.9618;0.0216
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9885;0.9215;0.9538;0.0279
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9888;0.9073;0.9463;0.0341
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9911;0.8940;0.9401;0.0434
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9915;0.8788;0.9317;0.0470
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9917;0.8662;0.9247;0.0515
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9922;0.8555;0.9188;0.0579
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9924;0.8442;0.9123;0.0675
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9946;0.7345;0.8450;0.1325
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9961;0.6398;0.7791;0.1838
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9954;0.5463;0.7054;0.2490
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9956;0.4512;0.6210;0.3000
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9953;0.3700;0.5395;0.3742
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9948;0.2843;0.4422;0.4070
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9936;0.1935;0.3239;0.4608
Fashion_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9899;0.0980;0.1783;0.4745
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9172;0.9938;0.9539;0.0048
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9172;0.9938;0.9539;0.0038
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9172;0.9938;0.9539;0.0033
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9485;0.9855;0.9667;0.0065
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9658;0.9745;0.9701;0.0103
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9735;0.9650;0.9692;0.0162
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9777;0.9405;0.9587;0.0221
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9813;0.9207;0.9501;0.0278
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9832;0.9058;0.9429;0.0339
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9844;0.8968;0.9385;0.0403
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9849;0.8822;0.9308;0.0463
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9853;0.8695;0.9238;0.0520
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9856;0.8572;0.9170;0.0605
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9869;0.8450;0.9104;0.0681
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9923;0.7372;0.8460;0.1239
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9942;0.6460;0.7831;0.1919
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9950;0.5483;0.7070;0.2416
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9962;0.4602;0.6296;0.2956
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9967;0.3762;0.5463;0.3575
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9966;0.2903;0.4496;0.4191
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9962;0.1980;0.3303;0.4592
Fashion_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9950;0.1005;0.1826;0.4833
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8813;0.9990;0.9365;0.0041
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8813;0.9990;0.9365;0.0037
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8813;0.9990;0.9365;0.0047
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9196;0.9952;0.9559;0.0064
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9608;0.9802;0.9704;0.0106
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9690;0.9705;0.9698;0.0166
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9750;0.9557;0.9653;0.0237
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9840;0.9390;0.9610;0.0308
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9872;0.9270;0.9562;0.0427
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9889;0.9160;0.9511;0.0423
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9909;0.9022;0.9445;0.0467
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9927;0.8872;0.9370;0.0569
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9934;0.8718;0.9286;0.0631
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9934;0.8618;0.9229;0.0720
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9954;0.7515;0.8564;0.1323
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9966;0.6593;0.7936;0.1975
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9969;0.5557;0.7136;0.2543
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9962;0.4622;0.6315;0.3025
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9967;0.3780;0.5481;0.3939
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9976;0.3058;0.4680;0.4333
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9976;0.2092;0.3459;0.4776
Fashion_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9975;0.1005;0.1826;0.5125
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.8593;0.9982;0.9236;0.0077
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.8613;0.9982;0.9247;0.0067
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.8615;0.9982;0.9248;0.0063
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9020;0.9940;0.9458;0.0096
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9168;0.9862;0.9503;0.0144
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9449;0.9770;0.9607;0.0194
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9664;0.9577;0.9621;0.0266
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9748;0.9480;0.9612;0.0352
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9834;0.9337;0.9579;0.0426
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9853;0.9220;0.9526;0.0436
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9882;0.9030;0.9437;0.0515
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9894;0.8895;0.9368;0.0563
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9918;0.8765;0.9306;0.0653
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9922;0.8628;0.9230;0.0702
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9944;0.7550;0.8583;0.1478
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9974;0.6617;0.7956;0.2027
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9973;0.5600;0.7173;0.2803
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9972;0.4432;0.6137;0.3239
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9972;0.3620;0.5312;0.3970
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9973;0.2757;0.4320;0.4439
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9974;0.1910;0.3206;0.4917
Fashion_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9973;0.0907;0.1664;0.5134
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8816;0.9945;0.9347;0.0046
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8642;0.9958;0.9253;0.0043
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8642;0.9958;0.9253;0.0045
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8719;0.9920;0.9281;0.0077
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8860;0.9832;0.9321;0.0099
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9209;0.9715;0.9455;0.0165
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9438;0.9653;0.9544;0.0223
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9544;0.9565;0.9554;0.0277
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9597;0.9410;0.9503;0.0336
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9768;0.9273;0.9514;0.0404
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9855;0.9147;0.9488;0.0461
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9912;0.9025;0.9448;0.0514
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9922;0.8882;0.9373;0.0575
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9932;0.8775;0.9318;0.0660
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9961;0.7720;0.8699;0.1280
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9967;0.6805;0.8088;0.1845
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9975;0.5958;0.7460;0.2419
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9980;0.5038;0.6695;0.2995
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9975;0.4047;0.5758;0.3596
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9977;0.3260;0.4914;0.4124
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9967;0.2270;0.3698;0.4548
Fashion_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9955;0.1118;0.2009;0.4803
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.6158;0.8670;0.7201;0.0048
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.6445;0.9962;0.7827;0.0046
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.6450;0.9958;0.7829;0.0044
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6748;0.9912;0.8030;0.0078
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.7478;0.9838;0.8497;0.0112
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9172;0.9745;0.9450;0.0167
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9309;0.9667;0.9485;0.0261
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9356;0.9590;0.9472;0.0280
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9484;0.9457;0.9471;0.0343
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9659;0.9413;0.9534;0.0438
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9767;0.9333;0.9545;0.0468
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9845;0.9235;0.9530;0.0521
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9894;0.9085;0.9472;0.0579
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9911;0.8940;0.9401;0.0718
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9966;0.7965;0.8854;0.1341
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9971;0.6777;0.8070;0.1851
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9983;0.5845;0.7373;0.2405
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9980;0.5048;0.6704;0.2942
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9987;0.3957;0.5669;0.3680
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;1.0000;0.2853;0.4439;0.4115
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;1.0000;0.1825;0.3087;0.4610
Fashion_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;1.0000;0.0958;0.1748;0.4960
Fashion_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.8485;0.9972;0.9169;0.0046
Fashion_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.8485;0.9972;0.9169;0.0033
Fashion_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.8485;0.9972;0.9169;0.0038
