Parametros;Precisao;Revocacao;F1-Score;Tempo
Mining_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5147;0.9995;0.6795;0.0038
Mining_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5147;0.9995;0.6795;0.0061
Mining_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5147;0.9995;0.6795;0.0041
Mining_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9060;0.9955;0.9487;0.0073
Mining_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9371;0.9910;0.9633;0.0113
Mining_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9675;0.9818;0.9746;0.0159
Mining_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9781;0.9718;0.9749;0.0224
Mining_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9814;0.9615;0.9713;0.0287
Mining_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9836;0.9433;0.9630;0.0339
Mining_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9855;0.9315;0.9577;0.0491
Mining_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9869;0.9203;0.9524;0.0462
Mining_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9880;0.9067;0.9456;0.0518
Mining_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9879;0.8960;0.9397;0.0574
Mining_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9883;0.8862;0.9345;0.0662
Mining_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9909;0.7880;0.8779;0.1265
Mining_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9907;0.6957;0.8174;0.1902
Mining_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9897;0.5998;0.7469;0.2402
Mining_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9883;0.5085;0.6715;0.3049
Mining_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9887;0.4145;0.5841;0.3660
Mining_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9890;0.3160;0.4790;0.4102
Mining_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9895;0.2120;0.3492;0.4501
Mining_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9951;0.1022;0.1854;0.4820
Mining_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5429;0.9970;0.7030;0.0058
Mining_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5341;0.9980;0.6958;0.0060
Mining_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5313;0.9985;0.6935;0.0086
Mining_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8995;0.9962;0.9454;0.0081
Mining_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9367;0.9912;0.9632;0.0107
Mining_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9593;0.9852;0.9721;0.0173
Mining_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9805;0.9690;0.9747;0.0234
Mining_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9845;0.9555;0.9698;0.0283
Mining_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9875;0.9313;0.9586;0.0341
Mining_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9879;0.9180;0.9517;0.0464
Mining_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9885;0.9030;0.9438;0.0478
Mining_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9884;0.8928;0.9381;0.0526
Mining_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9885;0.8832;0.9329;0.0597
Mining_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9890;0.8730;0.9274;0.0711
Mining_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9905;0.7823;0.8741;0.1240
Mining_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9904;0.6927;0.8152;0.1933
Mining_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9910;0.5813;0.7327;0.2539
Mining_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9893;0.4870;0.6527;0.3050
Mining_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9875;0.3950;0.5643;0.3626
Mining_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9892;0.2970;0.4568;0.4208
Mining_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9874;0.1963;0.3274;0.4586
Mining_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9824;0.0975;0.1774;0.4994
Mining_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6957;0.9938;0.8184;0.0074
Mining_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6914;0.9935;0.8153;0.0067
Mining_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6999;0.9938;0.8214;0.0071
Mining_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8308;0.9930;0.9047;0.0091
Mining_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9191;0.9912;0.9538;0.0115
Mining_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9616;0.9818;0.9715;0.0185
Mining_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9677;0.9742;0.9710;0.0237
Mining_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9779;0.9620;0.9699;0.0366
Mining_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9823;0.9440;0.9628;0.0355
Mining_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9834;0.9355;0.9589;0.0438
Mining_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9861;0.9215;0.9527;0.0471
Mining_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9865;0.9123;0.9479;0.0529
Mining_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9868;0.8995;0.9411;0.0579
Mining_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9884;0.8910;0.9372;0.0701
Mining_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9912;0.7853;0.8763;0.1249
Mining_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9904;0.6953;0.8170;0.1935
Mining_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9899;0.5880;0.7378;0.2432
Mining_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9879;0.4888;0.6540;0.3007
Mining_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9886;0.3910;0.5604;0.3529
Mining_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9870;0.2858;0.4432;0.4039
Mining_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9910;0.1923;0.3220;0.4437
Mining_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9868;0.0932;0.1704;0.4735
Mining_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5129;0.9800;0.6734;0.0051
Mining_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5135;0.9935;0.6771;0.0048
Mining_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5132;0.9928;0.6766;0.0048
Mining_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8301;0.9965;0.9057;0.0072
Mining_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9167;0.9932;0.9534;0.0097
Mining_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9553;0.9838;0.9693;0.0172
Mining_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9695;0.9705;0.9700;0.0221
Mining_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9764;0.9603;0.9682;0.0279
Mining_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9808;0.9460;0.9631;0.0351
Mining_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9829;0.9325;0.9570;0.0438
Mining_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9850;0.9180;0.9503;0.0462
Mining_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9863;0.9008;0.9416;0.0518
Mining_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9869;0.8885;0.9351;0.0582
Mining_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9873;0.8745;0.9275;0.0679
Mining_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9898;0.7800;0.8725;0.1261
Mining_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9893;0.6920;0.8144;0.1923
Mining_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9892;0.5960;0.7438;0.2392
Mining_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9891;0.4993;0.6636;0.2922
Mining_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9909;0.4085;0.5785;0.3740
Mining_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9905;0.3142;0.4771;0.4155
Mining_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9884;0.2130;0.3505;0.4553
Mining_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9886;0.1082;0.1951;0.4969
Mining_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5141;0.9998;0.6791;0.0045
Mining_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5141;0.9998;0.6791;0.0037
Mining_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5141;0.9998;0.6791;0.0047
Mining_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8570;0.9965;0.9215;0.0068
Mining_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9047;0.9920;0.9463;0.0092
Mining_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9497;0.9868;0.9679;0.0158
Mining_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9707;0.9692;0.9700;0.0283
Mining_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9744;0.9610;0.9677;0.0283
Mining_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9823;0.9415;0.9615;0.0347
Mining_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9838;0.9280;0.9551;0.0430
Mining_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9852;0.9137;0.9481;0.0464
Mining_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9858;0.9018;0.9419;0.0523
