Parametros;Precisao;Revocacao;F1-Score;Tempo
Parks_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7054;0.9985;0.8267;0.0047
Parks_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7054;0.9985;0.8267;0.0044
Parks_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7054;0.9985;0.8267;0.0043
Parks_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7223;0.9962;0.8374;0.0077
Parks_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9349;0.9902;0.9618;0.0106
Parks_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9731;0.9760;0.9745;0.0157
Parks_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9816;0.9625;0.9720;0.0236
Parks_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9840;0.9530;0.9682;0.0359
Parks_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9864;0.9407;0.9630;0.0345
Parks_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9888;0.9290;0.9580;0.0437
Parks_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9887;0.9227;0.9546;0.0463
Parks_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9904;0.9070;0.9469;0.0519
Parks_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9906;0.8985;0.9423;0.0688
Parks_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9916;0.8892;0.9377;0.0805
Parks_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9920;0.7760;0.8708;0.1353
Parks_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9940;0.6667;0.7981;0.1897
Parks_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9960;0.5615;0.7181;0.2462
Parks_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9956;0.4530;0.6227;0.3149
Parks_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9946;0.3670;0.5362;0.3646
Parks_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9955;0.2755;0.4316;0.4222
Parks_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9945;0.1810;0.3063;0.4669
Parks_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9916;0.0882;0.1621;0.4868
